namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Chippens Kennel,Enskede,Stockholms län,,,,google_maps,"Handelsvägen 83, 122 48 Enskede",,serpapi_google_maps
Sea Hund & Katt,Kungens Kurva,Stockholms län,huddingedjurklinik@gmail.com,http://seahundochkatt.se,,google_maps,"Ryttarhalsvägen 21, 141 75 Kungens Kurva",08-680 04 40,serpapi_google_maps
Hundtränarna Idnert & Casteberg HB,Bromma,Stockholms län,info@hundtranarna.se,http://www.hundtranarna.se,http://facebook.com/hundtranarna,google_maps,"Ulvsundavägen 146, 168 67 Bromma",070-760 34 30,serpapi_google_maps
Wallins Hundvård,Stockholm,Stockholms län,,,,google_maps,"114 18,, Ekhagsvägen 2, 114 18 Stockholm",08-612 84 82,serpapi_google_maps
Canis Veritas,Stockholm,Stockholms län,info@canisveritas.se,http://www.canisveritas.se,,google_maps,"Hedinsgatan 3, 115 33 Stockholm",08-29 37 77,serpapi_google_maps
Hundfrisören & SPA Stockholm AB,Stockholm,Stockholms län,info@hundfrisorspa.se,http://www.hundfrisorspa.se,,google_maps,"Artemisgatan 49C, 115 42 Stockholm",08-91 11 80,serpapi_google_maps
Hundpark,Stockholm,Stockholms län,,https://www.stockholm.se/KulturFritid/Park-och-natur/Friluftsliv/Hundrastplatser,,google_maps,"Frejgatan 20X, 113 49 Stockholm",08-508 090 00,serpapi_google_maps
Hundmodelandet Hundfrisör Stockholm,Enskede,Stockholms län,,http://www.hundmodelandet.se,,google_maps,"Knektvägen 3, 122 46 Enskede",073-646 03 39,serpapi_google_maps
Cool Dogs Hundtrim,Stockholm,Stockholms län,,,,google_maps,"Sankt Eriksgatan 72, 113 20 Stockholm",070-338 26 67,serpapi_google_maps
Fåfängans hundrastområde,Stockholm,Stockholms län,,,,google_maps,116 45 Stockholm,,serpapi_google_maps
Gärdets Hundtrim,Stockholm,Stockholms län,gardetshundtrim@gmail.com,http://gardetshundtrim.se,,google_maps,"Rindögatan 32, 115 58 Stockholm",072-922 50 05,serpapi_google_maps
"Changdobels - Östermalm hunddagis, Stureparken",Stockholm,Stockholms län,stureparken@changdobels.se,https://changdobels.se/hunddagis/ostermalm-hunddagis,https://facebook.com/changdobels.stureparken,google_maps,"Sturegatan 31, 114 36 Stockholm",08-512 561 00,serpapi_google_maps
Prickiga hunden Hundbeteendeutredare & Rehabterapeut,Stockholm,Stockholms län,,http://prickigahunden.se,https://www.facebook.com/prickigahunden,google_maps,"Alstaviksvägen 21, 117 33 Stockholm",070-964 16 09,serpapi_google_maps
"Hundvakt, Hundrastare, Hundrastning Stockholm - Tassevärld",Stockholm,Stockholms län,info@tassevarld.se,http://www.tassevarld.se,https://www.facebook.com/tassevarld,google_maps,,073-691 45 25,serpapi_google_maps
Pennys Dog Spa,Stockholm,Stockholms län,info@pennys.se,http://www.pennys.se,https://www.facebook.com/pennysdogspa,google_maps,"Roslagsgatan 48, 113 54 Stockholm",073-995 57 70,serpapi_google_maps
Himmelska Hundar,Stockholm,Stockholms län,info@himmelskahundar.se,http://www.himmelskahundar.se,,google_maps,"Hedinsgatan 13, 115 33 Stockholm",08-410 098 77,serpapi_google_maps
Dipl.Hundfrisör Natali Gaulitz,Stockholm,Stockholms län,,,,google_maps,"Brantingsgatan 49, 115 35 Stockholm",076-393 76 47,serpapi_google_maps
Chantli's Kennel,Torslanda,Västra Götalands län,asa.gyllenglimma@gmail.com,https://asagyllenglimma.wixsite.com/chantliskennel,http://www.facebook.com/wix,google_maps,"Bergegårdsvägen 12, 423 53 Torslanda",072-361 26 36,serpapi_google_maps
Hundstjärnan Hunddagis,Göteborg,Västra Götalands län,,http://www.hundstjarnan.se,,google_maps,"Smidesgatan 5, 417 07 Göteborg",031-23 34 41,serpapi_google_maps
Drömgårdens Kennel & Kurser,Härryda,Västra Götalands län,info@dromgardenskennel.se,http://dromgardenskennel.se,https://www.facebook.com/dromgardenskennel,google_maps,"Gransjöåsvägen 101, 438 92 Härryda",070-330 22 26,serpapi_google_maps
Sjöliden's Norska Skogkatter & Australian Shepherds,Harestad,Västra Götalands län,,,,google_maps,"Toreby mosse 530, 442 74 Harestad",070-204 92 44,serpapi_google_maps
Augustimåne,Göteborg,Västra Götalands län,,,,google_maps,"Riksdalersgatan 1B, 414 81 Göteborg",070-747 51 11,serpapi_google_maps
Drömgårdens Hundhotel,Härryda,Västra Götalands län,julia@dromgardenshundhotel.se,http://www.dromgardenshundhotel.se,https://www.facebook.com/DromgardensHundhotel,google_maps,"Gransjöåsvägen 101, 438 92 Härryda",,serpapi_google_maps
Labrador Retrieverklubben,Väddö,Västra Götalands län,info.ansv@labradorklubben.se,http://www.labradorklubben.se,https://facebook.com/labradorklubben,google_maps,"Nor 2261, 760 40 Väddö",0176-544 26,serpapi_google_maps
Humlebyns,Lindome,Västra Götalands län,,https://www.humlebyns.se,,google_maps,"Humlekärrs byväg 36, 437 93 Lindome",072-199 02 99,serpapi_google_maps
Smaskens Hundpensionat,Ytterby,Västra Götalands län,,https://swenavi.org/details/smaskens-hundpensionat-ChIJb2e,,google_maps,"Vena 430, 442 94 Ytterby",070-612 79 14,serpapi_google_maps
Guldkullens Kennel & Kurser,Rävlanda,Västra Götalands län,info@guldkullens.se,http://www.guldkullens.se,https://www.facebook.com/guldkullens,google_maps,"Barkkulla 401, 438 97 Rävlanda",072-525 25 46,serpapi_google_maps
Hundkojan,Göteborg,Västra Götalands län,info@hundkojan-shop.se,http://www.hundkojan-shop.se/contact_5.html,,google_maps,"Eklandagatan 9, 412 55 Göteborg",031-778 49 40,serpapi_google_maps
Härryda Djurpensionat,Härryda,Västra Götalands län,,http://www.harrydadjurpensionat.se,,google_maps,"Risbackavägen 27, 438 94 Härryda",070-439 21 69,serpapi_google_maps
Örjansbergets Kennel,Göteborg,Västra Götalands län,,,,google_maps,"Plantagegatan 6A, 413 05 Göteborg",070-645 41 81,serpapi_google_maps
Seabell's Klipp & Trim,Sävedalen,Västra Götalands län,,,,google_maps,"Frejavägen 8, 433 62 Sävedalen",073-688 87 71,serpapi_google_maps
HundXtra,Göteborg,Västra Götalands län,,http://www.hundxtra.se,,google_maps,"Stampereds Gård 1, 418 78 Göteborg",073-534 47 14,serpapi_google_maps
Hund i focus,Kållered,Västra Götalands län,eva@hundifocus.se,http://www.hundifocus.se,https://www.facebook.com/Hundifocus,google_maps,"Tulebo strandväg 89, 428 34 Kållered",070-292 26 11,serpapi_google_maps
Del Mar Dogs,Billdal,Västra Götalands län,,https://www.delmardogs.se,https://www.facebook.com/DRCLAUDERSSVERIGE,google_maps,"Bolshedens industriväg 34, 427 50 Billdal",070-990 08 49,serpapi_google_maps
Dogman and friends,Göteborg,Västra Götalands län,,https://dogman.se/store-detail/dogman-and-friends-goteborg-backaplan,https://www.facebook.com/Dogmanbackaplan,google_maps,"Gamla Tuvevägen 21, 417 05 Göteborg",031-22 40 45,serpapi_google_maps
Noordhgårdens Hundskola & Hunddagis,Ytterby,Västra Götalands län,,http://www.noordhgardens.se,,google_maps,"Ormo 130, 442 94 Ytterby",070-639 31 22,serpapi_google_maps
Kennel Line Sam,Bredared,Västra Götalands län,linesam@gmail.com,http://www.linesam.com,,google_maps,"SLÄTTGÅRDEN, 504 96 Bredared",076-949 47 55,serpapi_google_maps
Alléns Gård,Säve,Västra Götalands län,info@allensgard.se,http://allensgard.se,https://www.facebook.com/Allensgard,google_maps,"Gunnesby Kalsbogård 30, 423 72 Säve",070-950 10 02,serpapi_google_maps
Hundrast,Göteborg,Västra Götalands län,,http://hundrast.com,,google_maps,"Gullbergs Strandgata 36D, 411 04 Göteborg",,serpapi_google_maps
Vinthundspalatset AB,Göteborg,Västra Götalands län,voff@vinthundspalatset.se,https://vinthundspalatset.se,https://www.facebook.com/people/Vinthundspalatset/61564472541991,google_maps,"Wingårdsgatan 7, 416 57 Göteborg",070-690 92 11,serpapi_google_maps
Hundens Hus Göteborg,Västra Frölunda,Västra Götalands län,goteborg@hundenshus.se,https://goteborg.hundenshus.se,https://www.facebook.com/hundenshusgoteborg,google_maps,"J A Wettergrens g 6, 421 30 Västra Frölunda",076-161 00 60,serpapi_google_maps
Nya varvets & Göteborgs hundskola,Göteborg,Västra Götalands län,,https://hundskolan.net,https://www.facebook.com/hundskolan,google_maps,"Knipplagatan 6, 414 74 Göteborg",070-946 71 71,serpapi_google_maps
HundSalongen,Göteborg,Västra Götalands län,,http://hundsalongen.nu,,google_maps,"Karl Johansgatan 46B, 414 59 Göteborg",,serpapi_google_maps
GG hund&katt,Göteborg,Västra Götalands län,kontakta@gghk.se,http://www.gghk.se,https://www.facebook.com/pages/GG-G%C3%B6teborgs-Hund-Katt-Butik-och-Klinik/242489189152823,google_maps,"Vegagatan 58, 413 11 Göteborg",031-14 49 44,serpapi_google_maps
Kennel Black Orange's Pomeranian,Hyssna,Västra Götalands län,blackorangess@hotmail.com,http://www.blackoranges.se,,google_maps,"Resselvägen 1, 511 68 Hyssna",070-545 93 08,serpapi_google_maps
101 Labradoodles,Olofstorp,Västra Götalands län,sanna@101tassar.se,https://www.101labradoodles.com,https://www.facebook.com/Labradoodlepuppie,google_maps,"Torvhögsvägen 49, 424 91 Olofstorp",070-939 77 36,serpapi_google_maps
Hunddagis 101 tassar,Olofstorp,Västra Götalands län,sanna@101tassar.se,http://www.101tassar.se,https://facebook.com/101tassar,google_maps,"Torvhögsvägen 49, 424 91 Olofstorp",070-939 77 36,serpapi_google_maps
HULEBÄCK HUND,Mölnlycke,Västra Götalands län,,http://www.xn--hulebckhund-p8a.se,https://www.facebook.com/HulebackHund,google_maps,"Metallvägen 5, 435 33 Mölnlycke",076-390 04 96,serpapi_google_maps
Chocos Hundfrisör & Dagis,Göteborg,Västra Götalands län,,,,google_maps,"Skaragatan 5, 415 16 Göteborg",076-227 95 72,serpapi_google_maps
Hundparadiset Göteborg,Göteborg,Västra Götalands län,hundparadiset@outlook.com,http://hundparadisetgoteborg.se,https://www.facebook.com/p/Hundparadiset-G%C3%B6teborg-61552108594483,google_maps,"Gamla Boråsvägen 2, 412 76 Göteborg",073-344 20 91,serpapi_google_maps
Kungliga Hundar,Göteborg,Västra Götalands län,helena@kungligahundar.se,http://www.kungligahundar.se,https://www.facebook.com/kungligahundar,google_maps,"Åskvädersgatan 1, 418 34 Göteborg",070-373 83 88,serpapi_google_maps
Älvens Hundhälsa. Trim-Rehab-Spa,Hisings Backa,Västra Götalands län,,http://hundtrim-goteborg.se,https://www.facebook.com/alvenshundhalsa,google_maps,"Backa Bergögata 11, 422 46 Hisings Backa",073-987 47 15,serpapi_google_maps
Slottsskogens hundskallgård,Göteborg,Västra Götalands län,stadsledningskontoret@stadshuset.goteborg.se,https://goteborg.se/wps/portal/start/uppleva-och-gora/parker-och-lekplatser/for-dig-som-ar-hundagare/hundrastgardar,,google_maps,"Plantskolevägen, 414 66 Göteborg",031-365 00 00,serpapi_google_maps
Kellys Hundsalong,Göteborg,Västra Götalands län,info@kellyshundsalong.se,https://www.kellyshundsalong.se,https://facebook.com/5135967516470138,google_maps,"Övre Olskroksgatan 1, 416 67 Göteborg",073-500 04 42,serpapi_google_maps
Den lilla hundsalongen,Göteborg,Västra Götalands län,,http://www.denlillahundsalongen.se,http://facebook.com/denlillahundsalongen,google_maps,"Hjalmar Brantingsgatan 21, 417 39 Göteborg",070-067 42 90,serpapi_google_maps
Hundar i Kålltorp,Göteborg,Västra Götalands län,hundhik@hundhik.se,http://hundhik.se,http://www.facebook.com/hundhik,google_maps,"Virginsgatan 21, 416 54 Göteborg",070-396 14 87,serpapi_google_maps
Haga hundfrisörer AB,Göteborg,Västra Götalands län,hagahundfrisorer@gmail.com,http://www.hagahundfrisorer.se,,google_maps,"Kastellgatan 12, 411 22 Göteborg",076-889 51 22,serpapi_google_maps
Jessieshundar Göteborg,Göteborg,Västra Götalands län,jessieshundar@gmail.com,http://jessieshundar.se,https://www.facebook.com/jessie.domenech.9,google_maps,"Odinsgatan 24b, 411 03 Göteborg",,serpapi_google_maps
RottiPowah Rottweiler Kennel,Malmö,Skåne län,contact@rottipowah.se,https://www.rottipowah.se,https://www.facebook.com/rottipowah,google_maps,"Professorsgatan, 215 53 Malmö",073-413 53 15,serpapi_google_maps
Novens Kennel,Vellinge,Skåne län,info@novens-kennel.com,http://novens-kennel.com,https://www.facebook.com/novens.kennel,google_maps,"Vellinge Väster byaväg 113, 235 91 Vellinge",070-752 39 89,serpapi_google_maps
CityDoggis Hunddagis i Malmö,Malmö,Skåne län,kontakt@citydoggis.se,http://www.citydoggis.se,https://www.facebook.com/Citydoggis,google_maps,"Östra Varvsgatan 25, 211 73 Malmö",,serpapi_google_maps
Gaso’s Kennel,Malmö,Skåne län,,https://www.instagram.com/gasos_kennel,,google_maps,,073-572 39 59,serpapi_google_maps
Stjärnans black and Tan Kennel,Malmö,Skåne län,,,,google_maps,"Esperantogatan 17, 215 84 Malmö",073-728 07 74,serpapi_google_maps
kennel Sublime,Malmö,Skåne län,,http://www.kerryblueterrier.se,,google_maps,"Ormvråksgatan 42, 215 62 Malmö",040-92 13 13,serpapi_google_maps
Sydskånska Kennelklubben,Arlöv,Skåne län,,,,google_maps,"Företagsvägen 29, 232 37 Arlöv",040-27 12 60,serpapi_google_maps
Rissies Kennel,Genarp,Skåne län,,https://www.rissieskennel.se,,google_maps,"Genarp 1172, 247 72 Genarp",070-848 21 72,serpapi_google_maps
Landgold kennel,Svedala,Skåne län,,,,google_maps,"Ugglarpsvägen 91 - 28, 231 96 Svedala",073-411 84 62,serpapi_google_maps
Candy Dogz Malmö,Malmö,Skåne län,,http://www.candydogz.se,,google_maps,"Skruvgatan 7, 211 24 Malmö",073-573 83 90,serpapi_google_maps
Tygelsjö Hundpensionat,Tygelsjö,Skåne län,info@europaresor.nu,https://xn--tygelsjhundpensionat-99b.se,,google_maps,"Glostorpsvägen 56, 218 75 Tygelsjö",040-46 94 24,serpapi_google_maps
Dogman and friends,Arlöv,Skåne län,,https://dogman.se/store-detail/dogman-and-friends-malmo-stora-bernstorp,https://www.facebook.com/dogmanbernstorp,google_maps,"Vassvägen 21, 232 91 Arlöv",040-618 55 10,serpapi_google_maps
Kennel Golden Mystery,Oxie,Skåne län,kennelgoldenmystery@gmail.com,http://goldenmystery.com/hem.htm,,google_maps,"Svedalavägen 140, 238 41 Oxie",076-015 83 11,serpapi_google_maps
Perro de Lani,Malmö,Skåne län,,,,google_maps,"Louisedalsvägen, 238 41 Malmö",073-504 78 03,serpapi_google_maps
Dogman and friends,Malmö,Skåne län,,https://dogman.se/store-detail/dogman-and-friends-malmo-caroli,https://www.facebook.com/Dogmancaroli,google_maps,"Östergatan 18, 211 25 Malmö",040-643 87 40,serpapi_google_maps
Hundrastgård Stadionparken Östra,Malmö,Skåne län,malmostad@malmo.se,http://www.malmo.se/hund,https://www.facebook.com/malmostad,google_maps,217 62 Malmö,040-34 10 00,serpapi_google_maps
Golden Retriever Life,Malmö,Skåne län,,,,google_maps,"Rödkullastigen 9B, 214 57 Malmö",076-263 16 13,serpapi_google_maps
Orkanens Kennel,Malmö,Skåne län,,http://www.orkanens.se/en/contact-us,,google_maps,"Föreningsgatan 12, 211 44 Malmö",0435-125 61,serpapi_google_maps
Bubblans Kennel,Malmö,Skåne län,a.umenmark@gmail.com,http://bubblanskennel.se/contact.html,,google_maps,"Fridhällagatan 28, 212 30 Malmö",070-833 91 66,serpapi_google_maps
Ebafarmen Avel & Foder,Sölvesborg,Skåne län,ebafarmenfoder@gmail.com,http://www.ebafarmen.se,https://www.facebook.com/ebafarmen,google_maps,"Hosabyvägen 12, 294 71 Sölvesborg",070-855 06 71,serpapi_google_maps
Huahund/Hund Pro Plus,Malmö,Skåne län,hundproplus@gmail.com,http://huahund.se/malm%C3%B6/malm%C3%B6-39056682,http://www.facebook.com/huahundosterlen,google_maps,"Gasverksgatan 5, 211 29 Malmö",070-232 53 23,serpapi_google_maps
Celines Hundaktivering,Malmö,Skåne län,celine.fagerberg@gmail.com,http://celineshundaktivering.se,,google_maps,"Flintyxegatan 9, 213 76 Malmö",070-942 61 00,serpapi_google_maps
Paletten Hundskola,Malmö,Skåne län,info@palettenhundskola.se,http://www.palettenhundskola.se,https://www.facebook.com/palettenhundskola,google_maps,"Boställsvägen 46, 216 21 Malmö",072-181 33 91,serpapi_google_maps
Alfahunden,Höllviken,Skåne län,infoalfahunden@gmail.com,https://www.alfahunden.se,https://www.facebook.com/alfahunden.se,google_maps,"Räng Sandsvägen 36, 236 61 Höllviken",070-872 96 96,serpapi_google_maps
Ribersborgs Hundrastplats,Malmö,Skåne län,,,,google_maps,217 59 Malmö,040-34 10 00,serpapi_google_maps
Svenska Brukshundsklubbens Malmöavdelning,Limhamn,Skåne län,kansli@sbkmalmo.se,http://www.sbkmalmo.se,https://www.facebook.com/sbkmalmo,google_maps,"Hammars väg, 216 30 Limhamn",076-391 91 17,serpapi_google_maps
Chillas Vänner Hunddagis-Hundpensionat-Hundkurser,Svedala,Skåne län,kontakt@chillasvanner.se,https://chillasvanner.se,https://www.facebook.com/profile.php,google_maps,"Travarevägen 67, 233 92 Svedala",070-834 62 76,serpapi_google_maps
Skönadals Hundhall,Anderslöv,Skåne län,skonadalshundhall@gmail.com,https://www.boka.se/skonadalshundhall,,google_maps,"Skönadalsvägen 158, 0, 231 73 Anderslöv",070-266 67 36,serpapi_google_maps
Salong Doggi Style By Lillan,Arlöv,Skåne län,lillan@salongdoggistyle.se,http://www.salongdoggistyle.se,https://facebook.com/profile.php,google_maps,"Tågarpsvägen 31, 212 35 Arlöv",073-728 07 74,serpapi_google_maps
Hundharmoni NoseWork i Skåne,Svedala,Skåne län,info@hundharmoni.com,http://www.hundharmoni.com,https://www.facebook.com/Hundharmoni,google_maps,"Bolagsgatan, 233 51 Svedala",,serpapi_google_maps
Sannas HundLiv,Sjöbo,Skåne län,,http://www.sannashundliv.se/kontakt.htm,,google_maps,"Hörrs byaväg 73, 275 92 Sjöbo",073-600 25 06,serpapi_google_maps
Åredalens Hundsport AB,Duved,Skåne län,arehundsport@gmail.com,http://www.arehundsport.se,https://www.facebook.com/aredalenshundsport,google_maps,"Ol Persvägen 1, 837 71 Duved",0647-66 24 11,serpapi_google_maps
Djurvetologen,Malmö,Skåne län,info@djurvetologen.se,http://djurvetologen.se,,google_maps,,070-978 18 98,serpapi_google_maps
Jolines Flockliv,Malmö,Skåne län,,https://www.jolinesflockliv.se,,google_maps,,073-591 67 90,serpapi_google_maps
Hundburar,Malmö,Skåne län,,,,google_maps,"Västra Kanalgatan 1, 211 41 Malmö",010-263 33 10,serpapi_google_maps
Rönneholms Hundtrim,Malmö,Skåne län,,,,google_maps,"Västra Rönneholmsvägen 71, 217 41 Malmö",,serpapi_google_maps
Viktors Hundvård,Malmö,Skåne län,,https://www.bokadirekt.se/places/viktors-hundvard-47655,https://www.facebook.com/bokadirekt,google_maps,"Segevångsgatan 1, 212 27 Malmö",070-014 04 66,serpapi_google_maps
Rufs & Tufs Hundsalong,Malmö,Skåne län,info@rufsochtufs.se,https://rufsochtufs.se,https://www.facebook.com/RufsOchTufs,google_maps,"Blekingsborgsgatan 3, 214 63 Malmö",040-15 99 00,serpapi_google_maps
Milo Hundsalong,Malmö,Skåne län,,,,google_maps,"Västra Varvsgatan 11e, 211 11 Malmö",076-769 36 00,serpapi_google_maps
Beatrice K9 Dog Training and Adventure Company,Malmö,Skåne län,info@beatrice-k9.com,http://www.beatrice-k9.com,,google_maps,"Bergsgatan 42, 214 22 Malmö",073-071 88 82,serpapi_google_maps
Unique Dogs Hundagis,Uppsala,Uppsala län,susanne@uniquedogs.eu,http://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,"Danmarksgatan 20, 753 23 Uppsala",072-239 69 44,serpapi_google_maps
Kennel Graceline's,Uppsala,Uppsala län,kennel_graceline@yahoo.se,http://gracelines.se/kontakt.html,,google_maps,"Karby Lindbacken 85, 741 78 Uppsala",073-985 19 55,serpapi_google_maps
Unique Dogs Petite,Uppsala,Uppsala län,susanne@uniquedogs.eu,https://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,"Hjalmar Brantingsgatan 10kv, 753 27 Uppsala",072-239 69 44,serpapi_google_maps
Pet Store Sweden,Uppsala,Uppsala län,kontakt@petstoresweden.com,http://www.petstoresweden.com,,google_maps,"Fyrisvallsgatan 22, 752 28 Uppsala",076-616 53 16,serpapi_google_maps
Uppsala Hunddagis,Uppsala,Uppsala län,kontakt@uppsalahunddagis.se,http://www.uppsalahunddagis.se,https://sv-se.facebook.com/Hundprylar,google_maps,"Vattholmavägen 63, 754 40 Uppsala",018-13 03 03,serpapi_google_maps
Norrhund AB,Uppsala,Uppsala län,norrhund@gmail.com,http://www.norrhund.se,https://www.facebook.com/NorrHund-AB-298490190178915,google_maps,"Vedergärde 25, 755 94 Uppsala",073-586 19 99,serpapi_google_maps
Dogman and friends,Uppsala,Uppsala län,,https://dogman.se/store-detail/dogman-and-friends-uppsala-bolanderna,https://www.facebook.com/dogmanuppsala,google_maps,"Rapsgatan 1D, 753 23 Uppsala",018-410 00 30,serpapi_google_maps
Dogpark Uppsala,Uppsala,Uppsala län,info@dogpark.se,http://www.dogpark.se,http://www.facebook.com/dogparkuddevalla,google_maps,"Fålhagsleden 130, Årsta, 754 49 Uppsala",,serpapi_google_maps
