namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Vaksala hunddagis,Vaksala,Uppsala,Uppsala län,vaksalahunddagis@hotmail.com,http://www.vaksalahunddagis.com,http://www.facebook.com/vaksalahunddagis,google_maps,skickat,2026-03-30,13:09
Norrhund AB,Norrhund,Uppsala,Uppsala län,norrhund@gmail.com,http://www.norrhund.se,https://www.facebook.com/NorrHund-AB-298490190178915,google_maps,skickat,2026-03-30,13:09
Hundhjälpen i Uppland AB,Hundhjälpen i Uppland,Storvreta,Uppsala län,info@hundhjalpen.nu,https://hundhjalpen.nu,https://www.facebook.com/hundhjalpen.nu,google_maps,skickat,2026-03-30,13:13
Hundvakt Kattvakt och Ärendetjänst,Hundvakt Kattvakt och Ärendetjänst,Uppsala,Uppsala län,,https://www.rover.com/sit/abhijm86720,,google_maps,,,
Harmoniska Hundar,Harmoniska Hundar,Uppsala,Uppsala län,,,,google_maps,,,
Parkhyddans Hund- & Kattpensionat KB,Parkhyddans Hund- & Kattpensionat KB,Järlåsa,Uppsala län,mail: info@parkhyddan.com,https://www.parkhyddan.com,,google_maps,skickat,2026-03-30,14:09
Hundpensionat Laggagrottan,Hundpensionat Laggagrottan,Knivsta,Uppsala län,kontakt@hundpensionat-laggagrottan.se,https://www.hundpensionat-laggagrottan.se,,google_maps,skickat,2026-03-30,14:09
Miljagårdens Hundhotell,Miljagården,Knivsta,Uppsala län,kontoret@miljagarden.se,http://www.xn--miljagrden-65a.se,https://www.facebook.com/miljagardenshundhotell,google_maps,skickat,2026-03-30,14:09
Hunderbart Dagis,Hunderbart Dagis,Björklinge,Uppsala län,svenskahundsportsakademin@gmail.com,http://svenskahundsportsakademin.se/hunderbart-dagis,https://www.facebook.com/Svenska-HundsportsAkademin-106366234054339,google_maps,skickat,2026-03-31,15:34
Heddas Hundservice,Heddas Hundservice,Månkarbo,Uppsala län,hedvigjarpemo@live.se,https://heddashundservice.se,https://www.facebook.com/heddashundservice,google_maps,skickat,2026-03-31,15:34
Hundträning,Hundträning,Uppsala,Uppsala län,webshop@foderboden.se,https://www.foderboden.se/category/hundtraning,https://www.facebook.com/Foderboden,google_maps,,,
Doggies Hundpensionat/Hunddagis,Doggies,Örebro,Örebro län,,https://www.facebook.com/profile.php,,google_maps,,,
Hundforum,Hundforum,Örebro,Örebro län,sussi@hundforum.nu,http://hundforum.nu,https://www.facebook.com/Hundforum-i-%C3%96rebro-116578931729365,google_maps,skickat,2026-03-31,15:34
JA’s Hundgöra - Örebro,JA's Hundgöra - Örebro,Örebro,Örebro län,info@jashundgora.se,https://www.jashundgora.se,,google_maps,skickat,2026-03-31,15:34
Hunddagis Trippande Tassar,Hunddagis Trippande Tassar,Örebro,Örebro län,info@trippandetassar.se,http://www.trippandetassar.se,https://www.facebook.com/trippandetassar,google_maps,skickat,2026-03-31,15:35
Dos Barbas Hundar,Dos Barbas Hundar,Örebro,Örebro län,anders@dosbarbas.se,http://www.dosbarbas.se,https://www.facebook.com/dosbarbashundvard,google_maps,skickat,2026-03-31,15:35
Örebro Hundträning,Örebro Hundträning,Kumla,Örebro län,ulrika@orebrohundtraning.com,https://orebrohundtraning.com,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-31,15:35
JR Hundcenter,JR Hundcenter,Örebro,Örebro län,,,,google_maps,,,
SV Hundtassen,SV Hundtassen,Örebro,Örebro län,,,,google_maps,,,
Flockens hundcenter,Flockens hundcenter,Vintrosa,Örebro län,info@flockens.se,https://flockens.se,https://www.facebook.com/flockens,google_maps,skickat,2026-03-31,15:36
Tasspatrullen Örebro,Tasspatrullen Örebro,Örebro,Örebro län,,,,google_maps,,,
Hundlyckan Hunddagis & Hundpensionat,Hundlyckan,Kumla,Örebro län,hundlyckan@hotmail.com,https://www.hundlyckan.com,http://www.facebook.com/hundlyckankumla,google_maps,skickat,2026-03-31,15:36
Skyberga Hundpensionat och Hunddagis,Skyberga Hundpensionat och,Örebro,Örebro län,,https://www.facebook.com/skyberga.se,,google_maps,,,
Källhagens Gård & Hundpensionat,Källhagens Gård,Lindesberg,Örebro län,info@kallhagens.se,https://kallhagens.se,https://facebook.com/kallhagens,google_maps,skickat,2026-03-31,15:36
Hundladan,Hundladan,Örebro,Örebro län,info@hundladan.com,http://hundladan.com,,google_maps,skickat,2026-03-31,15:36
Lisas hundhjälp Hundpensionat,Lisas hundhjälp,Ervalla,Örebro län,lisa@lisashundhjalp.se,https://lisashundhjalp.se,,google_maps,skickat,2026-03-31,15:38
Kvinnersta HundAkademi,Kvinnersta HundAkademi,Örebro,Örebro län,,,,google_maps,,,
Hyddans Hunddagis i Ur & Skur,Hyddans i Ur & Skur,Örebro,Örebro län,hyddanshunddagis@hotmail.com,http://hyddanshunddagis.se,https://www.facebook.com/HyddansHunddagis,google_maps,skickat,2026-03-31,15:38
Hunddagis Bergslagen Dogs Academy,Hunddagis Bergslagen Dogs Academy,Karlskoga,Örebro län,,https://sv-se.facebook.com/hundarnashus,,google_maps,,,
"Hardstyles Hundtjänst Kennel, Kurser & Hunddagis / pensionat","Hardstyles Hundtjänst Kennel, Kurser & Hunddagis / pensionat",Kumla,Örebro län,hardstyleshundtjanst@hotmail.com,http://www.hardstyles.se,,google_maps,skickat,2026-03-31,15:38
Örebro Hundcenter AB,Örebro Hundcenter,Fjugesta,Örebro län,,,,google_maps,,,
kennel DenDu,kennel DenDu,Örebro,Örebro län,,,,google_maps,,,
Bissvargens Kennel,Bissvargens,Örebro,Örebro län,,,,google_maps,,,
Linköpings Hunddagis,Linköpings,Linköping,Östergötlands län,info@linkopingshunddagis.se,http://www.linkopingshunddagis.se,,google_maps,skickat,2026-03-31,15:38
Zesmars hunddagis,Zesmars,Linköping,Östergötlands län,,http://zesmars.se,,google_maps,,,
Hackefors Hunddagis,Hackefors,Linköping,Östergötlands län,info@hackeforshunddagis.se,http://www.hackeforshunddagis.se,,google_maps,skickat,2026-03-31,15:54
Lees hundpassning,Lees hundpassning,Linköping,Östergötlands län,,http://www.leeshundpassning.se,,google_maps,,,
Torvinge Hunddagis,Torvinge,Linköping,Östergötlands län,,,,google_maps,,,
Spångkärrs Hunddagis,Spångkärrs,Linköping,Östergötlands län,,https://www.instagram.com/spangkarrshunddagis,,google_maps,,,
"Melanie Byström - hunddagis, hundpsykolog & hundkurser","Melanie Byström - hunddagis, hundpsykolog & hundkurser",Linköping,Östergötlands län,info@melaniebystrom.se,http://melaniebystrom.se,,google_maps,skickat,2026-03-31,15:54
Hunderbara Hundcenter,Hunderbara Hundcenter,Ljungsbro,Östergötlands län,,,,google_maps,,,
Mauritzborg hundpensionat och hundvård,Mauritzborg hundpensionat och hundvård,Linköping,Östergötlands län,,https://www.facebook.com/profile.php,,google_maps,,,
Hundvardag i Linköping AB,Hundvardag i Linköping,Linköping,Östergötlands län,sales@nicsell.com,http://www.hundvardaglkpg.se,,google_maps,skickat,2026-03-31,15:54
"Candy Dogs, kennel och hunddagis","Candy Dogs, kennel och",Linköping,Östergötlands län,,https://naviswmap.org/details/candy-dogs-kennel-och-hunddagis-ChIJi08,,google_maps,,,
Elins Hundmys,Elins Hundmys,Linköping,Östergötlands län,info@elinshundmys.se,http://elinshundmys.se,,google_maps,skickat,2026-03-31,15:54
Anchilique's Kennel,Anchilique's,Linköping,Östergötlands län,,,,google_maps,,,
Hundriket,Hundriket,Helsingborg,Skåne län,,https://facebook.com/hundriket,,google_maps,,,
Pilshults Gård Hunddagis & Hundpensionat,Pilshults Gård,Helsingborg,Skåne län,info@hunddagishelsingborg.se,http://www.hunddagishelsingborg.se,https://www.facebook.com/Palsjogardhunddagisochhundpensionat,google_maps,skickat,2026-03-31,15:54
Gåsebäcks hunddagis,Gåsebäcks,Helsingborg,Skåne län,,http://www.gasebackshunddagis.se,,google_maps,,,
SIA Hunddagis,SIA,Helsingborg,Skåne län,kontaktcenter@helsingborg.se,https://vardochomsorg.helsingborg.se/funktionsnedsattning/daglig-verksamhet/sia-hunddagis,,google_maps,skickat,2026-03-31,15:54
Helsingborgs Hundhall,Helsingborgs Hundhall,Helsingborg,Skåne län,info@helsingborgshundhall.se,https://helsingborgshundhall.se,,google_maps,skickat,2026-03-31,15:54
Långeberga hundpensionat,Långeberga,Helsingborg,Skåne län,langebergapensionat@outlook.com,http://www.langebergapensionat.se,,google_maps,skickat,2026-03-31,15:54
Mjuka Tassar,Mjuka Tassar,Helsingborg,Skåne län,kontakt@mjukatassar.nu,https://www.mjukatassar.nu,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-31,15:58
Skogsuddens Kennel,Skogsudden,Helsingborg,Skåne län,git.andersson2@telia.com,https://www.skogsuddenskennel.se,https://www.facebook.com/skogsuddenskennel.se,google_maps,,,
Annelunds Gård,Annelunds Gård,Allerum,Skåne län,info@annelundsgard.se,https://www.annelundsgard.se,https://web.facebook.com/search/top,google_maps,skickat,2026-03-31,15:58
Kennel fyra små tassar,Kennel fyra små tassar,Viken,Skåne län,,,,google_maps,,,
Hundgrottan,Hundgrottan,Stockholm,Stockholms län,hundgrottan@hundgrottan.com,http://www.hundgrottan.se,https://facebook.com/hundgrottan,google_maps,skickat,2026-03-31,15:58
Dog Planet AB,Dog Planet,Stockholm,Stockholms län,info@dogplanet.se,http://www.dogplanet.se,,google_maps,skickat,2026-03-31,15:58
Tassar Av Stål Hunddagis,Tassar Av Stål,Stockholm,Stockholms län,tassaravstal@gmail.com,http://www.tassaravstal.se,https://www.facebook.com/tassaravstal,google_maps,skickat,2026-03-31,16:03
Sagans hunddagis,Sagans,Stockholm,Stockholms län,saganshunddagis@hotmail.com,http://www.saganshunddagis.com,https://www.facebook.com/saganshunddagis64,google_maps,skickat,2026-03-31,16:03
MyDogCare Kungsholmen,MyDogCare Kungsholmen,Stockholm,Stockholms län,,https://mydogcare.com/kungsholmen,https://www.facebook.com/MyDogCareSverige,google_maps,,,
Stockholms Hundforum Hunddagis Kungsholmen - Fridhemsplan,Stockholms Hundforum Kungsholmen - Fridhemsplan,Stockholm,Stockholms län,info@stockholmshundforum.se,http://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps,skickat,2026-03-31,16:03
Kära Tassar - Dagis & Café,Kära Tassar - Dagis & Café,Hägersten,Stockholms län,vovvedagis@hotmail.com,http://karatassar.se,,google_maps,skickat,2026-03-31,16:03
Changdobels - Gärdet Hunddagis,Changdobels - Gärdet,Stockholm,Stockholms län,gardet@changdobels.se,https://changdobels.se/hunddagis/gardet-hunddagis,https://www.facebook.com/gardethunddagis,google_maps,skickat,2026-03-31,16:06
MyDogCare Vasastan,MyDogCare Vasastan,Stockholm,Stockholms län,,http://mydogcare.com/vasastan,https://www.facebook.com/MyDogCareSverige,google_maps,,,
MyDogCare Östermalm,MyDogCare Östermalm,Stockholm,Stockholms län,,https://mydogcare.com/ostermalm,https://www.facebook.com/MyDogCareSverige,google_maps,,,
MyDogCare Södermalm,MyDogCare Södermalm,Stockholm,Stockholms län,,https://mydogcare.com/sodermalm,https://www.facebook.com/MyDogCareSverige,google_maps,,,
Årsta Hundcenter AB,Årsta Hundcenter,Hägersten,Stockholms län,info@arstahundcenter.se,http://arstahundcenter.se,https://www.facebook.com/people/%C3%85rsta-Hundcenter/100034170044892,google_maps,skickat,2026-03-31,16:06
Dogga AB,Dogga,Stockholm,Stockholms län,malin@dogga.se,http://www.dogga.se,,google_maps,skickat,2026-03-31,16:06
Gärdets Hunddagis,Gärdet,Stockholm,Stockholms län,,https://gardetshunddagis.se,https://www.facebook.com/gardetshunddagis2,google_maps,,,
"Changdobels - Östermalm hunddagis, Stureparken","Changdobels - Östermalm hunddagis, Stureparken",Stockholm,Stockholms län,stureparken@changdobels.se,https://changdobels.se/hunddagis/ostermalm-hunddagis,https://facebook.com/changdobels.stureparken,google_maps,skickat,2026-03-31,16:06
Dog Tajm AB,Dog Tajm,Bandhagen,Stockholms län,,http://www.dogtajm.se,,google_maps,,,
Dogstore Sweden AB,Dogstore Sweden,Stockholm,Stockholms län,dogstoresweden@gmail.com,https://www.dogstore.se,http://www.facebook.com/wix,google_maps,skickat,2026-03-31,16:10
VIP Dogs AB,VIP Dogs,Stockholm,Stockholms län,vipdogshunddagis@gmail.com,http://www.vipdogshunddagis.se,https://www.facebook.com/people/VIPDogs-Hunddagis/61571781658951/#,google_maps,skickat,2026-03-31,16:10
MyDogCare Torsplan,MyDogCare Torsplan,Stockholm,Stockholms län,,https://mydogcare.com/torsplan,https://www.facebook.com/MyDogCareSverige,google_maps,,,
Exklusivt Hunddagis Gärdet,Exklusivt Gärdet,Stockholm,Stockholms län,bellsbusinesscorp@gmail.com,https://exklusivthunddagisgardet.se,,google_maps,skickat,2026-03-31,16:10
Ekfalk Animal Center | Hundhotell Stockholm-Arlanda,Ekfalk Animal Center | Stockholm-Arlanda,Märsta,Stockholms län,bokning@ekfalkanimalcenter.se,https://www.ekfalkanimalcenter.se,https://www.facebook.com/ekfalkanimalcenter,google_maps,skickat,2026-03-31,16:10
Lyckliga Tassar,Lyckliga Tassar,Täby,Stockholms län,lyckligatassar@hotmail.com,http://www.lyckligatassar.se,http://www.facebook.com/pages/Lyckliga-Tassar-Hunddagis-Hundpensionat/240790486004124,google_maps,skickat,2026-03-31,16:14
Skoby Hundhotell,Skoby,Märsta,Stockholms län,kontoret@skobyhundhotell.se,https://www.skobyhundhotell.se,https://www.facebook.com/skobyhundhotell,google_maps,skickat,2026-03-31,16:14
Nospromenaden Hundcenter,Nospromenaden Hundcenter,Årsta,Stockholms län,,https://www.nospromenaden.com,,google_maps,,,
Alice & Friends,Alice & Friends,Stockholm,Stockholms län,,https://aliceandfriends.se,,google_maps,,,
Emerita Hunddagis Lidingö,Emerita Lidingö,Lidingö,Stockholms län,hej@emeritahunddagis.se,http://emeritahunddagis.se,https://www.facebook.com/wix,google_maps,skickat,2026-03-31,16:14
Changdobels - Täby Hundcenter,Changdobels - Täby Hundcenter,Täby,Stockholms län,taby@changdobels.se,https://changdobels.se/hundpensionat,https://www.facebook.com/Changdobels.Hundcenter,google_maps,skickat,2026-03-31,16:14
Högdalens Hundcenter,Högdalens Hundcenter,Bandhagen,Stockholms län,info@hogdalenshundcenter.com,http://hogdalenshundcenter.com,https://www.facebook.com/hogdalenshundcenter,google_maps,skickat,2026-03-31,16:18
Hunddagiset Skogsdungen,Hunddagiset Skogsdungen,Kungens Kurva,Stockholms län,info@hunddagisetskogsdungen.se,https://hunddagisetskogsdungen.se,https://www.facebook.com/Skogsdungenshunddagis,google_maps,skickat,2026-03-31,16:18
Emerita Hunddagis Gubbängen,Emerita Gubbängen,Farsta,Stockholms län,hej@emeritahunddagis.se,https://www.emeritahunddagis.se,https://www.facebook.com/wix,google_maps,skickat,2026-03-31,16:18
Changdobels - Danderyd Hundiversum,Changdobels - Danderyd Hundiversum,Danderyd,Stockholms län,hundiversum@changdobels.se,https://changdobels.se/hunddagis/hundiversum-hunddagis,https://www.facebook.com/Changdobelshundiversum,google_maps,skickat,2026-03-31,16:18
Lillefots Hundcenter AB,Lillefots Hundcenter,Stockholm,Stockholms län,info@lillefots.com,http://www.lillefots.com,https://www.facebook.com/LillefotsHundcenter,google_maps,skickat,2026-03-31,16:22
Grimstalyan Hundcenter,Grimstalyan Hundcenter,Vällingby,Stockholms län,info@grimstalyan.se,http://www.grimstalyan.se,https://www.facebook.com/Grimstalyan-184989294977535,google_maps,skickat,2026-03-31,16:22
Solna Hundhuset AB,Solna Hundhuset,Farsta,Stockholms län,,,,google_maps,,,
Stockholmshundarna i Ur & Skur,Stockholmshundarna i Ur & Skur,Sollentuna,Stockholms län,urochskur@stockholmshundarna.se,http://stockholmshundarna.se,https://www.facebook.com/pages/Stockholmshundarna/133003983430663,google_maps,skickat,2026-03-31,16:22
Helénes Hundhotell,Helénes,Tystberga,Stockholms län,,http://heleneshundhotell.se,,google_maps,,,
Göteborgs Hunddagis Backaplan,Göteborgs Backaplan,Göteborg,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:22
Hund i Centrum Hildebrandsgatan,Hund i Centrum Hildebrandsgatan,Göteborg,Västra Götalands län,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps,skickat,2026-03-31,16:26
Göteborgs Hunddagis-Högsbo,Göteborgs Hunddagis-Högsbo,Västra Frölunda,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:26
Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborg,Västra Götalands län,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:26
Hundens Hem Hunddagis i Göteborg,Hundens Hem i Göteborg,Göteborg,Västra Götalands län,hhmasthugget@gmail.com,http://www.hundenshemhunddagis.hundpoolen.se,,google_maps,skickat,2026-03-31,16:26
Hundstjärnan Hunddagis,Hundstjärnan,Göteborg,Västra Götalands län,,http://www.hundstjarnan.se,,google_maps,,,
Vinthundspalatset AB,Vinthundspalatset,Göteborg,Västra Götalands län,voff@vinthundspalatset.se,https://vinthundspalatset.se,https://www.facebook.com/people/Vinthundspalatset/61564472541991,google_maps,skickat,2026-03-31,16:30
Kålltorps Hundställe AB,Kålltorps Hundställe,Göteborg,Västra Götalands län,,http://kalltorpshundstalle.se,,google_maps,,,
Göteborgs Hunddagis-Sisjön,Göteborgs Hunddagis-Sisjön,Askim,Västra Götalands län,alingsas@goteborgshunddagis.se,http://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:30
Hund i centrum Tagenevägen,Hund i centrum Tagenevägen,Hisings Kärra,Västra Götalands län,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps,skickat,2026-03-31,16:30
Hundparadiset Göteborg,Hundparadiset Göteborg,Göteborg,Västra Götalands län,hundparadiset@outlook.com,http://hundparadisetgoteborg.se,https://www.facebook.com/p/Hundparadiset-G%C3%B6teborg-61552108594483,google_maps,skickat,2026-03-31,16:30
Göteborgs Hunddagis Mölndal,Göteborgs Mölndal,Mölndal,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:34
Fyrfota Äventyr Hunddagis,Fyrfota Äventyr,Göteborg,Västra Götalands län,info@fyrfotaaventyr.se,http://fyrfotaaventyr.se,https://facebook.com/fyrfotaaventyr,google_maps,skickat,2026-03-31,16:34
Delsjöns hundcenter,Delsjöns hundcenter,Göteborg,Västra Götalands län,info@delsjonshundcenter.se,http://delsjonshundcenter.se,https://www.facebook.com/search/top,google_maps,skickat,2026-03-31,16:34
HundXtra,HundXtra,Göteborg,Västra Götalands län,,http://www.hundxtra.se,,google_maps,,,
Hundligan Hunddagis,Hundligan,Västra Frölunda,Västra Götalands län,hundliganhunddagis@outlook.com,http://hundliganhunddagis.com,https://www.facebook.com/Hundligan-hunddagis-645208035528013,google_maps,skickat,2026-03-31,16:34
Bräcke hunddagis TriBus,Bräcke TriBus,Göteborg,Västra Götalands län,tribus@brackediakoni.se,http://www.brackediakoni.se/hunddagiset-tribus,https://www.facebook.com/brackehunddagistribus,google_maps,skickat,2026-03-31,16:37
Partille Hunddagis,Partille,Partille,Västra Götalands län,,http://www.partillehunddagis.se,,google_maps,,,
Mölndals hunddagis - Mölndal,Mölndals - Mölndal,Mölndal,Västra Götalands län,molndalshunddagis@gmail.com,http://molndalshunddagis.se,https://www.facebook.com/p/M%C3%B6lndals-hunddagis-AB-100084048623355,google_maps,skickat,2026-03-31,16:38
Änggårdens Nya Hunddagis,Änggårdens Nya,Västra Frölunda,Västra Götalands län,info@anggardenshunddagis.se,http://www.anggardenshunddagis.se,,google_maps,skickat,2026-03-31,16:38
Hunddagis 101 tassar,Hunddagis 101 tassar,Olofstorp,Västra Götalands län,sanna@101tassar.se,http://www.101tassar.se,https://facebook.com/101tassar,google_maps,skickat,2026-03-31,16:38
Smaskens Hundpensionat,Smaskens,Ytterby,Västra Götalands län,,https://swenavi.org/details/smaskens-hundpensionat-ChIJb2e,,google_maps,,,
Alléns Gård,Alléns Gård,Säve,Västra Götalands län,info@allensgard.se,http://allensgard.se,https://www.facebook.com/Allensgard,google_maps,skickat,2026-03-31,16:42
Skolleras Hundpensionat,Skolleras,Lindome,Västra Götalands län,,,,google_maps,,,
Drömgårdens Hundhotel,Drömgården,Härryda,Västra Götalands län,julia@dromgardenshundhotel.se,http://www.dromgardenshundhotel.se,https://www.facebook.com/DromgardensHundhotel,google_maps,skickat,2026-03-31,16:42
Kayogården Hundpensionat - Hundpensionat Kungälv,Kayogården - Kungälv,Romelanda,Västra Götalands län,info@kayogarden.se,https://www.kayogarden.se,,google_maps,skickat,2026-03-31,16:42
Härryda Djurpensionat,Härryda,Härryda,Västra Götalands län,,http://www.harrydadjurpensionat.se,,google_maps,,,
CityDoggis Hunddagis i Malmö,CityDoggis i Malmö,Malmö,Skåne län,kontakt@citydoggis.se,http://www.citydoggis.se,https://www.facebook.com/Citydoggis,google_maps,skickat,2026-03-31,16:42
Lodjuret Hunddagis,Lodjuret,Malmö,Skåne län,hunddagiset@gmail.com,http://www.lodjuret.com,https://facebook.com/lodjurethunddagis,google_maps,skickat,2026-03-31,16:46
Hunddagis Jägersro,Hunddagis Jägersro,Malmö,Skåne län,qelso@hotmail.com,https://www.qelsoab.se,https://www.facebook.com/qelsoab,google_maps,skickat,2026-03-31,16:46
Hyllie Hundcenter,Hyllie Hundcenter,Vintrie,Skåne län,,https://www.hylliehundcenter.com,,google_maps,,,
​​Limhamns Hunddagis,​​Limhamns,Limhamn,Skåne län,limhamnshunddagis@gmail.com,http://www.limhamnshunddagis.se,https://www.facebook.com/limhamnshunddagis,google_maps,skickat,2026-03-31,16:46
Tygelsjö Hundpensionat,Tygelsjö,Tygelsjö,Skåne län,info@europaresor.nu,https://xn--tygelsjhundpensionat-99b.se,,google_maps,skickat,2026-03-31,16:46
Doggowalk,Doggowalk,Malmö,Skåne län,mail@demolink.org,http://www.doggowalk.se,,google_maps,,,
Beatrice K9 Dog Training and Adventure Company,Beatrice K9 Dog Training and Adventure Company,Malmö,Skåne län,info@beatrice-k9.com,http://www.beatrice-k9.com,,google_maps,,,
Stjärnans black and Tan Kennel,Stjärnans black and Tan,Malmö,Skåne län,,,,google_maps,,,
Hildesborgshunddagis,Hildesborgshunddagis,Tygelsjö,Skåne län,hildesborg@live.se,https://www.hildesborghunddagis.se,https://www.facebook.com/Hildesborgshunddagis-och-Hundpensionat-108249329284641,google_maps,skickat,2026-03-31,16:50
Håslövs Hundpensionat AB,Håslövs,Vellinge,Skåne län,info@hundpensionatet.nu,http://hundpensionatet.nu,https://www.facebook.com/H%C3%A5sl%C3%B6vs-Hundpensionat-205015593030,google_maps,skickat,2026-03-31,16:50
Milos vänner,Milos vänner,Lomma,Skåne län,antonietta@milosvanner.se,http://www.milosvanner.se,https://www.facebook.com/Milosvanner,google_maps,skickat,2026-03-31,16:50
Tingeling Hundpensionat,Tingeling,Vellinge,Skåne län,,http://www.tingeling-vellinge.se,https://www.facebook.com/tingelinghundpensionat,google_maps,,,
Pluto's mobila hunddagis,Pluto's mobila,Malmö,Skåne län,,https://m.facebook.com/hundkompisarna4ever,,google_maps,,,
Solviks Hundhotell,Solviks,Vellinge,Skåne län,,,,google_maps,,,
Pilebackens Hundpensionat och Hunddagis,Pilebackens Hundpensionat och,Klörup,Skåne län,,https://www.facebook.com/profile.php,,google_maps,,,
Sjödikens Hundhotell,Sjödikens,Svedala,Skåne län,,https://swenavi.org/details/wiveka-jardby-ChIJMXX,,google_maps,,,
Alfahunden,Alfahunden,Höllviken,Skåne län,infoalfahunden@gmail.com,https://www.alfahunden.se,https://www.facebook.com/alfahunden.se,google_maps,skickat,2026-03-31,16:50
ParadisGårdens Hundpensionat och Hunddagis,ParadisGårdens Hundpensionat och,Trelleborg,Skåne län,nathapettersson@gmail.com,http://www.paradisgarden.hundpoolen.se,,google_maps,skickat,2026-03-31,16:54
Peach Passion's Kennel & Hundvård,Peach Passion's Kennel & Hundvård,Vellinge,Skåne län,,,,google_maps,,,
