namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Hedmarksvidda Kennel Siberian Husky,Hedmarksvidda Siberian Husky,Lillehammer,Innlandet,kjersti.vogt@hedmarksviddahusky.no,https://hedmarksviddahusky.no,https://facebook.com//siberianhuskytours,google_maps,,,
Kennel Alpelosen,Kennel Alpelosen,Norge,Innlandet,,,,google_maps,,,
Ingierodden kennel,Ingierodden,Norge,Akershus,,,,google_maps,,,
Kennel Stabykroken,Kennel Stabykroken,Norge,Akershus,kenneth@stabyhuset.com,http://www.stabyhuset.com,https://facebook.com/kenneth.johannesen.9,google_maps,,,
Kennel Bjerkhaug,Kennel Bjerkhaug,Norge,Akershus,,http://www.kennelbjerkhaug.net,,google_maps,,,
Kennel Smallville,Kennel Smallville,Norge,Akershus,,http://www.kennel-smallville.com,,google_maps,,,
Kennel Comkitty,Kennel Comkitty,Norge,Akershus,reidun.sa@hotmail.com,http://comkitty.net,,google_maps,,,
Miwok Kennel og Malerplassen Stall,Miwok og Malerplassen Stall,Norge,Akershus,miwok.kennel@gmail.com,https://malerplassen.com,https://www.facebook.com/profile.php,google_maps,,,
Kennel Mjøshuldra,Kennel Mjøshuldra,Sandvika,Akershus,,,,google_maps,,,
Bærum Kennel AS,Bærum,Norge,Akershus,post@kennel.no,http://www.kennel.no,,google_maps,,,
Kennel Billebakken,Kennel Billebakken,Norge,Akershus,,https://m.facebook.com/KennelBillebakken,,google_maps,,,
Kennel Myra - Australian Cobberdog,Kennel Myra - Australian Cobberdog,Norge,Akershus,,,,google_maps,,,
Kennel Fenomenet,Kennel Fenomenet,Norge,Innlandet,,,,google_maps,,,
Kennel Sunnyvales,Kennel Sunnyvales,Norge,Innlandet,,,,google_maps,,,
Kennel Mjøshuldra,Kennel Mjøshuldra,Norge,Innlandet,,,,google_maps,,,
Kennel Stormflokken,Kennel Stormflokken,Norge,Vestfold og Telemark,stormflokken@hotmail.com,http://www.stormflokken.no,,google_maps,,,
Galtstrømmens Kennel,Galtstrømmens,Norge,Vestfold og Telemark,,https://galtstrommenskennel.no,,google_maps,,,
Skutegårdens kennel,Skutegården,Fåker,Vestfold og Telemark,cardigan@telia.com,http://www.cathen.se,https://www.facebook.com/pages/Skuteg%C3%A5rdens-kennel/824283280941134,google_maps,,,
Kennel kystsola,Kennel kystsola,Norge,Vestfold og Telemark,,,,google_maps,,,
Amarita Kennel,Amarita,Norge,Vestfold og Telemark,,,,google_maps,,,
Pom Nebula Kennel,Pom Nebula,Norge,Vestfold og Telemark,,https://www.facebook.com/PomnebulaPoms,,google_maps,,,
Mallalasse kennel,Mallalasse,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Reitane,Kennel Reitane,Norge,Møre og Romsdal,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Kvasneset,Kennel Kvasneset,Norge,Møre og Romsdal,anja@kvasneset.com,https://www.kvasneset.com,,google_maps,,,
Kennel Moldefjord,Kennel Moldefjord,Norge,Møre og Romsdal,,,,google_maps,,,
Rozaros Kennel,Rozaros,Norge,Møre og Romsdal,,http://www.rozaros.com/Tidligere-Valpe-Kull,,google_maps,,,
Kennel Falkiaro,Kennel Falkiaro,Norge,Møre og Romsdal,kristin.falkiaro@gmail.com,http://www.falkiaro.net/Kontaktsida,,google_maps,,,
Kennel Ragnarok Polar,Kennel Ragnarok Polar,Harpefossvegen,Sogn og Fjordane,,,,google_maps,,,
Kennel Nordfjord,Kennel Nordfjord,Nordfjord,Sogn og Fjordane,kennelnordfjord@gmail.com,https://kennel-nordfjord.dk,,google_maps,,,
Kennel Hawuna,Kennel Hawuna,Norge,Sogn og Fjordane,hawuna@hawuna.com,http://www.hawuna.com,http://facebook.com/sarahsaetveit,google_maps,,,
Kennel GreyAlpha,Kennel GreyAlpha,Norge,Sogn og Fjordane,,https://greyalpha.no,,google_maps,,,
Kennel Solveggen,Kennel Solveggen,Norge,Sogn og Fjordane,post@kennelsolveggen.no,http://www.kennelsolveggen.no,,google_maps,,,
Voss Kennel,Voss,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Alnopa,Kennel Alnopa,Norge,Sogn og Fjordane,,http://www.kennelalnopa.weebly.com,,google_maps,,,
Kennel Aivema,Kennel Aivema,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Nærleiken,Kennel Nærleiken,Norge,Sogn og Fjordane,,http://naerleiken.no,,google_maps,,,
Arctic Sunstaff Kennel. Oppdretter av Staffordshire bull terriere,Arctic Sunstaff Kennel. Oppdretter av Staffordshire bull terriere,Norge,Sogn og Fjordane,,http://arcticsunstaff.com,,google_maps,,,
Kennel Svebø,Kennel Svebø,Norge,Sogn og Fjordane,,http://www.kennel-sveboe.com,,google_maps,,,
Kennel Fak's,Kennel Fak's,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Sortsnute,Kennel Sortsnute,Norge,Rogaland,,,,google_maps,,,
Kennel Sølvbart,Kennel Sølvbart,Norge,Rogaland,,,,google_maps,,,
Aasetoppen kennel,Aasetoppen,Norge,Rogaland,,http://www.facebook.com/Heika15,,google_maps,,,
Kennel Hunterhawk,Kennel Hunterhawk,Norge,Rogaland,fophei@online.no,http://www.kennelhunterhawk.dk,,google_maps,,,
Kennel Bergtatt Slipp hunden løs,Kennel Bergtatt Slipp hunden løs,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Øyesølv,Kennel Øyesølv,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Wheatamien,Kennel Wheatamien,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Warm Whispering,Kennel Warm Whispering,Norge,Vestfold og Telemark,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Ratoppen,Kennel Ratoppen,Norge,Vestfold og Telemark,,https://www.ratoppen.net,,google_maps,,,
Kelilis Kennel og Hundepensjonat,Kelilis og,Norge,Viken,,,,google_maps,,,
Kennel Kruttbolla,Kennel Kruttbolla,Norge,Viken,,,,google_maps,,,
Østfold kennel og Hundesenter AS,Østfold og Hundesenter,Norge,Viken,josteingrav@gmail.com,https://ostfoldkennel.no,https://www.facebook.com/ostfoldkenneloghundesenter,google_maps,,,
Kennel Soft Rush,Kennel Soft Rush,Norge,Viken,,,,google_maps,,,
Kennel CasaBolstad,Kennel CasaBolstad,Norge,Viken,,http://www.casabolstad.com,,google_maps,,,
Triomar kennel,Triomar,Norge,Viken,triomarkennel@gmail.com,https://triomarkennel.com,,google_maps,,,
The Originals Kennel,The Originals,Norge,Viken,,,,google_maps,,,
Kennel Tyriberget,Kennel Tyriberget,Norge,Viken,,http://tyriberget.beagle.no,,google_maps,,,
Kennel Larhjelm,Kennel Larhjelm,Norge,Viken,lars@larhjelm.net,http://www.larhjelm.net/Husetshunder/BISavLarhjelm,,google_maps,,,
Kennel Petit Norvegien,Kennel Petit Norvegien,Norge,Viken,,http://bergerdespyreneesafacerase.com,,google_maps,,,
Paiute kennel,Paiute,Norge,Viken,,,,google_maps,,,
Kennel Staff Division,Kennel Staff Division,Norge,Agder,,,,google_maps,,,
Flakkefossen Kennel og Hundepensjonat,Flakkefossen og,Norge,Agder,,http://flakkefossen.no,,google_maps,,,
Örbackas Kennel,Örbackas,Mellerud,Agder,orbackaskennel@gmail.com,https://www.orbackaskennel.com,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-26,11:11
Kennel Enano,Kennel Enano,Norge,Nordland,,,,google_maps,,,
Høgtind kennel og hundehotell,Høgtind og,Norge,Nordland,,http://hogtind-hundehotell.no,https://www.facebook.com/H%C3%B8gtind-Kennel-og-Hundehotell-As-738472403188129,google_maps,,,
