namn,stad,lan,email,hemsida,facebook,kalla
Top Dog Akademiet AS,Norge,Rogaland,,http://www.topdogakademiet.no,https://www.facebook.com/topdogakademiet,google_maps
Lundsneset Hundepark,Norge,Rogaland,,,,google_maps
ViTo Hundepensjon,Norge,Rogaland,post@vitohundepensjon.no,http://vitohundepensjon.no,,google_maps
Hundeskogen,Norge,Rogaland,,,,google_maps
Doggy Day Care,Stavanger,Rogaland,,https://www.doggydaycare.no,https://www.facebook.com/DoggyDayCareRogaland,google_maps
Sola Hundesenter AS,Norge,Rogaland,post@solahundesenter.no,http://www.solahundesenter.com,https://www.facebook.com/SolaHundesenter,google_maps
Storhaug hundepark,Norge,Rogaland,,,,google_maps
Hammaren hundepark,Norge,Rogaland,,,,google_maps
Tjensvoll Dog Park,Norge,Rogaland,,,,google_maps
Tastarustå Hundepark,Norge,Rogaland,,,,google_maps
Siddis Hundeskole,Norge,Rogaland,,https://www.siddishundeskole.com,https://www.facebook.com/Siddishundeskole,google_maps
Kristianlyst Hundepark,Norge,Rogaland,,,,google_maps
Berge Hundeassistanse,Norge,Agder,berge@hundeassistanse.no,http://www.hundeassistanse.no,https://www.facebook.com/hundeassistanse,google_maps
Hundepensjonat Kristiansand,Norge,Agder,,,,google_maps
Tiriltoppen Hundepass,Norge,Agder,,,,google_maps
Hundestylisten sør - Din Hundefrisør i sør,Norge,Agder,olavjordbrekk@gmail.com,https://www.hundestylistensor.net,https://www.facebook.com/hundestylistensor,google_maps
Tromsø Hundeklubb,Norge,Troms og Finnmark,bhgleder@tromso-hundeklubb.no,http://www.tromso-hundeklubb.no,https://www.facebook.com/pages/Troms%C3%B8-Hundeklubb/360928467426571,google_maps
Charlottenlund hundepark,Norge,Troms og Finnmark,,,,google_maps
Wagner Hundepass,Tromsø,Troms og Finnmark,,https://www.rover.com/members/gabi-w-dyreglad-familie-med-hus-og-hundegard-pa-land,,google_maps
Oslo Hundeskole Tromsø,Norge,Troms og Finnmark,oyvind@oslo-hundeskole.no,https://oslo-hundeskole.no/745/sommerkurs-i-tromso,https://www.facebook.com/OsloHundeskole,google_maps
Tromso Wilderness Center - Dog sledding,Norge,Troms og Finnmark,mail@villmarkssenter.no,https://villmarkssenter.no,https://www.facebook.com/tromsovillmarkssenter,google_maps
Hundevis AS,Norge,Troms og Finnmark,marita@hundevis.as,http://www.hundevis.as,,google_maps
Kroken hundepark,Norge,Troms og Finnmark,,,,google_maps
Austmarka Hundehotell,Norge,Troms og Finnmark,,,,google_maps
Elverum Hundepensjonat,Norge,Troms og Finnmark,,https://www.elverum-hundepensjonat.com,,google_maps
Hundefrisøren i Skoger,Norge,Buskerud,,http://www.skogerdyrehotell.no/spa-og-hundefrisor/vare-spatilbud,,google_maps
Aiden’s Hundelykke,Norge,Innlandet,,https://www.facebook.com/groups/751999595174166,,google_maps
Larvik Hundepark,Norge,Vestfold og Telemark,,,,google_maps
Sandefjord Hundeklubb,Norge,Vestfold og Telemark,,http://www.sandefjordhundeklubb.no,,google_maps
Larvik og omegn Hundeklubb,Norge,Vestfold og Telemark,,https://www.facebook.com/share/g/16csV4YnJ5,,google_maps
AS HUND,Norge,Vestfold og Telemark,,,,google_maps
Hund Og Hundepark Lillehammer,Norge,Innlandet,,,,google_maps
Lillehammer hundepark,Norge,Innlandet,,https://www.facebook.com/groups/182993643702922,,google_maps
Hamar Dog Park,Norge,Innlandet,postmottak@hamar.kommune.no,http://www.hamar.kommune.no,https://www.facebook.com/hamarkommune,google_maps
Bakken Hundesenter,Norge,Innlandet,,http://facebook.com/BakkenHundesenter,,google_maps
Anita's dog and cat AS,Norge,Innlandet,,https://www.facebook.com/groups/anitashundogkatt,,google_maps
