namn,stad,lan,email,hemsida,facebook,kalla
Hundhjälpen i Uppland AB,Storvreta,Uppsala län,info@hundhjalpen.nu,https://hundhjalpen.nu,https://www.facebook.com/hundhjalpen.nu,google_maps
Hundvakt Kattvakt och Ärendetjänst,Uppsala,Uppsala län,,https://www.rover.com/sit/abhijm86720,,google_maps
Harmoniska Hundar,Uppsala,Uppsala län,,,,google_maps
Parkhyddans Hund- & Kattpensionat KB,Järlåsa,Uppsala län,mail: info@parkhyddan.com,https://www.parkhyddan.com,,google_maps
Hundpensionat Laggagrottan,Knivsta,Uppsala län,kontakt@hundpensionat-laggagrottan.se,https://www.hundpensionat-laggagrottan.se,,google_maps
Miljagårdens Hundhotell,Knivsta,Uppsala län,kontoret@miljagarden.se,http://www.xn--miljagrden-65a.se,https://www.facebook.com/miljagardenshundhotell,google_maps
Hunderbart Dagis,Björklinge,Uppsala län,svenskahundsportsakademin@gmail.com,http://svenskahundsportsakademin.se/hunderbart-dagis,https://www.facebook.com/Svenska-HundsportsAkademin-106366234054339,google_maps
Heddas Hundservice,Månkarbo,Uppsala län,hedvigjarpemo@live.se,https://heddashundservice.se,https://www.facebook.com/heddashundservice,google_maps
Hundträning,Uppsala,Uppsala län,webshop@foderboden.se,https://www.foderboden.se/category/hundtraning,https://www.facebook.com/Foderboden,google_maps
Doggies Hundpensionat/Hunddagis,Örebro,Örebro län,,https://www.facebook.com/profile.php,,google_maps
Hundforum,Örebro,Örebro län,sussi@hundforum.nu,http://hundforum.nu,https://www.facebook.com/Hundforum-i-%C3%96rebro-116578931729365,google_maps
JA’s Hundgöra - Örebro,Örebro,Örebro län,info@jashundgora.se,https://www.jashundgora.se,,google_maps
Hunddagis Trippande Tassar,Örebro,Örebro län,info@trippandetassar.se,http://www.trippandetassar.se,https://www.facebook.com/trippandetassar,google_maps
Dos Barbas Hundar,Örebro,Örebro län,anders@dosbarbas.se,http://www.dosbarbas.se,https://www.facebook.com/dosbarbashundvard,google_maps
Örebro Hundträning,Kumla,Örebro län,ulrika@orebrohundtraning.com,https://orebrohundtraning.com,https://www.facebook.com/profile.php,google_maps
JR Hundcenter,Örebro,Örebro län,,,,google_maps
SV Hundtassen,Örebro,Örebro län,,,,google_maps
Flockens hundcenter,Vintrosa,Örebro län,info@flockens.se,https://flockens.se,https://www.facebook.com/flockens,google_maps
Tasspatrullen Örebro,Örebro,Örebro län,,,,google_maps
Hundlyckan Hunddagis & Hundpensionat,Kumla,Örebro län,hundlyckan@hotmail.com,https://www.hundlyckan.com,http://www.facebook.com/hundlyckankumla,google_maps
Skyberga Hundpensionat och Hunddagis,Örebro,Örebro län,,https://www.facebook.com/skyberga.se,,google_maps
Källhagens Gård & Hundpensionat,Lindesberg,Örebro län,info@kallhagens.se,https://kallhagens.se,https://facebook.com/kallhagens,google_maps
Hundladan,Örebro,Örebro län,info@hundladan.com,http://hundladan.com,,google_maps
Lisas hundhjälp Hundpensionat,Ervalla,Örebro län,lisa@lisashundhjalp.se,https://lisashundhjalp.se,,google_maps
Kvinnersta HundAkademi,Örebro,Örebro län,,,,google_maps
Hyddans Hunddagis i Ur & Skur,Örebro,Örebro län,hyddanshunddagis@hotmail.com,http://hyddanshunddagis.se,https://www.facebook.com/HyddansHunddagis,google_maps
Hunddagis Bergslagen Dogs Academy,Karlskoga,Örebro län,,https://sv-se.facebook.com/hundarnashus,,google_maps
"Hardstyles Hundtjänst Kennel, Kurser & Hunddagis / pensionat",Kumla,Örebro län,hardstyleshundtjanst@hotmail.com,http://www.hardstyles.se,,google_maps
Örebro Hundcenter AB,Fjugesta,Örebro län,,,,google_maps
kennel DenDu,Örebro,Örebro län,,,,google_maps
Bissvargens Kennel,Örebro,Örebro län,,,,google_maps
Linköpings Hunddagis,Linköping,Östergötlands län,info@linkopingshunddagis.se,http://www.linkopingshunddagis.se,,google_maps
Zesmars hunddagis,Linköping,Östergötlands län,,http://zesmars.se,,google_maps
Hackefors Hunddagis,Linköping,Östergötlands län,info@hackeforshunddagis.se,http://www.hackeforshunddagis.se,,google_maps
Lees hundpassning,Linköping,Östergötlands län,,http://www.leeshundpassning.se,,google_maps
Torvinge Hunddagis,Linköping,Östergötlands län,,,,google_maps
Spångkärrs Hunddagis,Linköping,Östergötlands län,,https://www.instagram.com/spangkarrshunddagis,,google_maps
"Melanie Byström - hunddagis, hundpsykolog & hundkurser",Linköping,Östergötlands län,info@melaniebystrom.se,http://melaniebystrom.se,,google_maps
Hunderbara Hundcenter,Ljungsbro,Östergötlands län,,,,google_maps
Mauritzborg hundpensionat och hundvård,Linköping,Östergötlands län,,https://www.facebook.com/profile.php,,google_maps
Hundvardag i Linköping AB,Linköping,Östergötlands län,sales@nicsell.com,http://www.hundvardaglkpg.se,,google_maps
"Candy Dogs, kennel och hunddagis",Linköping,Östergötlands län,,https://naviswmap.org/details/candy-dogs-kennel-och-hunddagis-ChIJi08,,google_maps
Elins Hundmys,Linköping,Östergötlands län,info@elinshundmys.se,http://elinshundmys.se,,google_maps
Anchilique's Kennel,Linköping,Östergötlands län,,,,google_maps
Hundriket,Helsingborg,Skåne län,,https://facebook.com/hundriket,,google_maps
Pilshults Gård Hunddagis & Hundpensionat,Helsingborg,Skåne län,info@hunddagishelsingborg.se,http://www.hunddagishelsingborg.se,https://www.facebook.com/Palsjogardhunddagisochhundpensionat,google_maps
Gåsebäcks hunddagis,Helsingborg,Skåne län,,http://www.gasebackshunddagis.se,,google_maps
SIA Hunddagis,Helsingborg,Skåne län,kontaktcenter@helsingborg.se,https://vardochomsorg.helsingborg.se/funktionsnedsattning/daglig-verksamhet/sia-hunddagis,,google_maps
Helsingborgs Hundhall,Helsingborg,Skåne län,info@helsingborgshundhall.se,https://helsingborgshundhall.se,,google_maps
Långeberga hundpensionat,Helsingborg,Skåne län,langebergapensionat@outlook.com,http://www.langebergapensionat.se,,google_maps
Mjuka Tassar,Helsingborg,Skåne län,kontakt@mjukatassar.nu,https://www.mjukatassar.nu,https://www.facebook.com/profile.php,google_maps
Skogsuddens Kennel,Helsingborg,Skåne län,git.andersson2@telia.com,https://www.skogsuddenskennel.se,https://www.facebook.com/skogsuddenskennel.se,google_maps
Annelunds Gård,Allerum,Skåne län,info@annelundsgard.se,https://www.annelundsgard.se,https://web.facebook.com/search/top,google_maps
Kennel fyra små tassar,Viken,Skåne län,,,,google_maps
Hundgrottan,Stockholm,Stockholms län,hundgrottan@hundgrottan.com,http://www.hundgrottan.se,https://facebook.com/hundgrottan,google_maps
Dog Planet AB,Stockholm,Stockholms län,info@dogplanet.se,http://www.dogplanet.se,,google_maps
Tassar Av Stål Hunddagis,Stockholm,Stockholms län,tassaravstal@gmail.com,http://www.tassaravstal.se,https://www.facebook.com/tassaravstal,google_maps
Sagans hunddagis,Stockholm,Stockholms län,saganshunddagis@hotmail.com,http://www.saganshunddagis.com,https://www.facebook.com/saganshunddagis64,google_maps
MyDogCare Kungsholmen,Stockholm,Stockholms län,,https://mydogcare.com/kungsholmen,https://www.facebook.com/MyDogCareSverige,google_maps
Stockholms Hundforum Hunddagis Kungsholmen - Fridhemsplan,Stockholm,Stockholms län,info@stockholmshundforum.se,http://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps
Kära Tassar - Dagis & Café,Hägersten,Stockholms län,vovvedagis@hotmail.com,http://karatassar.se,,google_maps
Changdobels - Gärdet Hunddagis,Stockholm,Stockholms län,gardet@changdobels.se,https://changdobels.se/hunddagis/gardet-hunddagis,https://www.facebook.com/gardethunddagis,google_maps
MyDogCare Vasastan,Stockholm,Stockholms län,,http://mydogcare.com/vasastan,https://www.facebook.com/MyDogCareSverige,google_maps
MyDogCare Östermalm,Stockholm,Stockholms län,,https://mydogcare.com/ostermalm,https://www.facebook.com/MyDogCareSverige,google_maps
MyDogCare Södermalm,Stockholm,Stockholms län,,https://mydogcare.com/sodermalm,https://www.facebook.com/MyDogCareSverige,google_maps
Årsta Hundcenter AB,Hägersten,Stockholms län,info@arstahundcenter.se,http://arstahundcenter.se,https://www.facebook.com/people/%C3%85rsta-Hundcenter/100034170044892,google_maps
Dogga AB,Stockholm,Stockholms län,malin@dogga.se,http://www.dogga.se,,google_maps
Gärdets Hunddagis,Stockholm,Stockholms län,,https://gardetshunddagis.se,https://www.facebook.com/gardetshunddagis2,google_maps
"Changdobels - Östermalm hunddagis, Stureparken",Stockholm,Stockholms län,stureparken@changdobels.se,https://changdobels.se/hunddagis/ostermalm-hunddagis,https://facebook.com/changdobels.stureparken,google_maps
Dog Tajm AB,Bandhagen,Stockholms län,,http://www.dogtajm.se,,google_maps
Dogstore Sweden AB,Stockholm,Stockholms län,dogstoresweden@gmail.com,https://www.dogstore.se,http://www.facebook.com/wix,google_maps
VIP Dogs AB,Stockholm,Stockholms län,vipdogshunddagis@gmail.com,http://www.vipdogshunddagis.se,https://www.facebook.com/people/VIPDogs-Hunddagis/61571781658951/#,google_maps
MyDogCare Torsplan,Stockholm,Stockholms län,,https://mydogcare.com/torsplan,https://www.facebook.com/MyDogCareSverige,google_maps
Exklusivt Hunddagis Gärdet,Stockholm,Stockholms län,bellsbusinesscorp@gmail.com,https://exklusivthunddagisgardet.se,,google_maps
Ekfalk Animal Center | Hundhotell Stockholm-Arlanda,Märsta,Stockholms län,bokning@ekfalkanimalcenter.se,https://www.ekfalkanimalcenter.se,https://www.facebook.com/ekfalkanimalcenter,google_maps
Lyckliga Tassar,Täby,Stockholms län,lyckligatassar@hotmail.com,http://www.lyckligatassar.se,http://www.facebook.com/pages/Lyckliga-Tassar-Hunddagis-Hundpensionat/240790486004124,google_maps
Skoby Hundhotell,Märsta,Stockholms län,kontoret@skobyhundhotell.se,https://www.skobyhundhotell.se,https://www.facebook.com/skobyhundhotell,google_maps
Nospromenaden Hundcenter,Årsta,Stockholms län,,https://www.nospromenaden.com,,google_maps
Alice & Friends,Stockholm,Stockholms län,,https://aliceandfriends.se,,google_maps
Emerita Hunddagis Lidingö,Lidingö,Stockholms län,hej@emeritahunddagis.se,http://emeritahunddagis.se,https://www.facebook.com/wix,google_maps
Changdobels - Täby Hundcenter,Täby,Stockholms län,taby@changdobels.se,https://changdobels.se/hundpensionat,https://www.facebook.com/Changdobels.Hundcenter,google_maps
Högdalens Hundcenter,Bandhagen,Stockholms län,info@hogdalenshundcenter.com,http://hogdalenshundcenter.com,https://www.facebook.com/hogdalenshundcenter,google_maps
Hunddagiset Skogsdungen,Kungens Kurva,Stockholms län,info@hunddagisetskogsdungen.se,https://hunddagisetskogsdungen.se,https://www.facebook.com/Skogsdungenshunddagis,google_maps
Emerita Hunddagis Gubbängen,Farsta,Stockholms län,hej@emeritahunddagis.se,https://www.emeritahunddagis.se,https://www.facebook.com/wix,google_maps
Changdobels - Danderyd Hundiversum,Danderyd,Stockholms län,hundiversum@changdobels.se,https://changdobels.se/hunddagis/hundiversum-hunddagis,https://www.facebook.com/Changdobelshundiversum,google_maps
Lillefots Hundcenter AB,Stockholm,Stockholms län,info@lillefots.com,http://www.lillefots.com,https://www.facebook.com/LillefotsHundcenter,google_maps
Grimstalyan Hundcenter,Vällingby,Stockholms län,info@grimstalyan.se,http://www.grimstalyan.se,https://www.facebook.com/Grimstalyan-184989294977535,google_maps
Solna Hundhuset AB,Farsta,Stockholms län,,,,google_maps
Stockholmshundarna i Ur & Skur,Sollentuna,Stockholms län,urochskur@stockholmshundarna.se,http://stockholmshundarna.se,https://www.facebook.com/pages/Stockholmshundarna/133003983430663,google_maps
Helénes Hundhotell,Tystberga,Stockholms län,,http://heleneshundhotell.se,,google_maps
Göteborgs Hunddagis Backaplan,Göteborg,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hund i Centrum Hildebrandsgatan,Göteborg,Västra Götalands län,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps
Göteborgs Hunddagis-Högsbo,Västra Frölunda,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborg,Västra Götalands län,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hundens Hem Hunddagis i Göteborg,Göteborg,Västra Götalands län,hhmasthugget@gmail.com,http://www.hundenshemhunddagis.hundpoolen.se,,google_maps
Hundstjärnan Hunddagis,Göteborg,Västra Götalands län,,http://www.hundstjarnan.se,,google_maps
Vinthundspalatset AB,Göteborg,Västra Götalands län,voff@vinthundspalatset.se,https://vinthundspalatset.se,https://www.facebook.com/people/Vinthundspalatset/61564472541991,google_maps
Kålltorps Hundställe AB,Göteborg,Västra Götalands län,,http://kalltorpshundstalle.se,,google_maps
Göteborgs Hunddagis-Sisjön,Askim,Västra Götalands län,alingsas@goteborgshunddagis.se,http://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hund i centrum Tagenevägen,Hisings Kärra,Västra Götalands län,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps
Hundparadiset Göteborg,Göteborg,Västra Götalands län,hundparadiset@outlook.com,http://hundparadisetgoteborg.se,https://www.facebook.com/p/Hundparadiset-G%C3%B6teborg-61552108594483,google_maps
Göteborgs Hunddagis Mölndal,Mölndal,Västra Götalands län,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Fyrfota Äventyr Hunddagis,Göteborg,Västra Götalands län,info@fyrfotaaventyr.se,http://fyrfotaaventyr.se,https://facebook.com/fyrfotaaventyr,google_maps
Delsjöns hundcenter,Göteborg,Västra Götalands län,info@delsjonshundcenter.se,http://delsjonshundcenter.se,https://www.facebook.com/search/top,google_maps
HundXtra,Göteborg,Västra Götalands län,,http://www.hundxtra.se,,google_maps
Hundligan Hunddagis,Västra Frölunda,Västra Götalands län,hundliganhunddagis@outlook.com,http://hundliganhunddagis.com,https://www.facebook.com/Hundligan-hunddagis-645208035528013,google_maps
Bräcke hunddagis TriBus,Göteborg,Västra Götalands län,tribus@brackediakoni.se,http://www.brackediakoni.se/hunddagiset-tribus,https://www.facebook.com/brackehunddagistribus,google_maps
Partille Hunddagis,Partille,Västra Götalands län,,http://www.partillehunddagis.se,,google_maps
Mölndals hunddagis - Mölndal,Mölndal,Västra Götalands län,molndalshunddagis@gmail.com,http://molndalshunddagis.se,https://www.facebook.com/p/M%C3%B6lndals-hunddagis-AB-100084048623355,google_maps
Änggårdens Nya Hunddagis,Västra Frölunda,Västra Götalands län,info@anggardenshunddagis.se,http://www.anggardenshunddagis.se,,google_maps
Hunddagis 101 tassar,Olofstorp,Västra Götalands län,sanna@101tassar.se,http://www.101tassar.se,https://facebook.com/101tassar,google_maps
Smaskens Hundpensionat,Ytterby,Västra Götalands län,,https://swenavi.org/details/smaskens-hundpensionat-ChIJb2e,,google_maps
Alléns Gård,Säve,Västra Götalands län,info@allensgard.se,http://allensgard.se,https://www.facebook.com/Allensgard,google_maps
Skolleras Hundpensionat,Lindome,Västra Götalands län,,,,google_maps
Drömgårdens Hundhotel,Härryda,Västra Götalands län,julia@dromgardenshundhotel.se,http://www.dromgardenshundhotel.se,https://www.facebook.com/DromgardensHundhotel,google_maps
Kayogården Hundpensionat - Hundpensionat Kungälv,Romelanda,Västra Götalands län,info@kayogarden.se,https://www.kayogarden.se,,google_maps
Härryda Djurpensionat,Härryda,Västra Götalands län,,http://www.harrydadjurpensionat.se,,google_maps
CityDoggis Hunddagis i Malmö,Malmö,Skåne län,kontakt@citydoggis.se,http://www.citydoggis.se,https://www.facebook.com/Citydoggis,google_maps
Lodjuret Hunddagis,Malmö,Skåne län,hunddagiset@gmail.com,http://www.lodjuret.com,https://facebook.com/lodjurethunddagis,google_maps
Hunddagis Jägersro,Malmö,Skåne län,qelso@hotmail.com,https://www.qelsoab.se,https://www.facebook.com/qelsoab,google_maps
Hyllie Hundcenter,Vintrie,Skåne län,,https://www.hylliehundcenter.com,,google_maps
​​Limhamns Hunddagis,Limhamn,Skåne län,limhamnshunddagis@gmail.com,http://www.limhamnshunddagis.se,https://www.facebook.com/limhamnshunddagis,google_maps
Tygelsjö Hundpensionat,Tygelsjö,Skåne län,info@europaresor.nu,https://xn--tygelsjhundpensionat-99b.se,,google_maps
Doggowalk,Malmö,Skåne län,mail@demolink.org,http://www.doggowalk.se,,google_maps
Beatrice K9 Dog Training and Adventure Company,Malmö,Skåne län,info@beatrice-k9.com,http://www.beatrice-k9.com,,google_maps
Stjärnans black and Tan Kennel,Malmö,Skåne län,,,,google_maps
Hildesborgshunddagis,Tygelsjö,Skåne län,hildesborg@live.se,https://www.hildesborghunddagis.se,https://www.facebook.com/Hildesborgshunddagis-och-Hundpensionat-108249329284641,google_maps
Håslövs Hundpensionat AB,Vellinge,Skåne län,info@hundpensionatet.nu,http://hundpensionatet.nu,https://www.facebook.com/H%C3%A5sl%C3%B6vs-Hundpensionat-205015593030,google_maps
Milos vänner,Lomma,Skåne län,antonietta@milosvanner.se,http://www.milosvanner.se,https://www.facebook.com/Milosvanner,google_maps
Tingeling Hundpensionat,Vellinge,Skåne län,,http://www.tingeling-vellinge.se,https://www.facebook.com/tingelinghundpensionat,google_maps
Pluto's mobila hunddagis,Malmö,Skåne län,,https://m.facebook.com/hundkompisarna4ever,,google_maps
Solviks Hundhotell,Vellinge,Skåne län,,,,google_maps
Pilebackens Hundpensionat och Hunddagis,Klörup,Skåne län,,https://www.facebook.com/profile.php,,google_maps
Sjödikens Hundhotell,Svedala,Skåne län,,https://swenavi.org/details/wiveka-jardby-ChIJMXX,,google_maps
Alfahunden,Höllviken,Skåne län,infoalfahunden@gmail.com,https://www.alfahunden.se,https://www.facebook.com/alfahunden.se,google_maps
ParadisGårdens Hundpensionat och Hunddagis,Trelleborg,Skåne län,nathapettersson@gmail.com,http://www.paradisgarden.hundpoolen.se,,google_maps
Peach Passion's Kennel & Hundvård,Vellinge,Skåne län,,,,google_maps
Oskarsfarms Hundpensionat,Ängelholm,Skåne län,info@oskarsfarm.se,http://oskarsfarm.se,,google_maps
Amadeusdolls Gröna Katter och Hundar,Arlöv,Skåne län,,,,google_maps
The Woff Pack AB,Staffanstorp,Skåne län,kontakt@thewoffshop.se,http://www.thewoffpack.se,,google_maps
Norrköpings Hunddagis & Djurvakt AB,Norrköping,Östergötlands län,kontakt@hunddagisodjurvakt.se,https://www.hunddagisodjurvakt.se,https://www.facebook.com/profile.php,google_maps
Bråvikens Hundpensionat HB,Norrköping,Östergötlands län,,,,google_maps
Naturtassens Hunddagis AB,Norrköping,Östergötlands län,,,,google_maps
DoggsenCenter Hundpensionat / Hunddagis,Åby,Östergötlands län,info@doggsencenter.se,http://www.doggsencenter.se,,google_maps
Lundby Styrstad Norrköping,Norrköping,Östergötlands län,,,,google_maps
Kennel Sontocs,Norrköping,Östergötlands län,,http://kennelsontocs.se,,google_maps
Martins Hunddagis,Jönköping,Jönköpings län,martin@martinshunddagis.se,http://www.martinshunddagis.se,,google_maps
Dogedu hunddagis ( fd Hunddagiset i Jönköping),Bankeryd,Jönköpings län,info@dogedu.se,http://www.dogedu.se,https://www.facebook.com/Dogeduhunddagis,google_maps
Broddstorps Hundpensionat,Gränna,Jönköpings län,,,,google_maps
Glada Svansens Hundpensionat,Bankeryd,Jönköpings län,,,,google_maps
Lagos Hundhjälp,Äng,Jönköpings län,josefin1986@gmail.com,http://www.lagoshundhjalp.se,https://www.facebook.com/lagoshundhjalp,google_maps
KENNEL PiASTIGEN,Jönköping,Jönköpings län,,,,google_maps
Birch Kennel,Huskvarna,Jönköpings län,,,,google_maps
Kennel Emoticon,Jönköping,Jönköpings län,jessica@emoticon.se,http://www.emoticon.se,https://www.facebook.com/jessica.bolander,google_maps
Borgatorp Hundpensionat,Tranås,Jönköpings län,karin@hundpensionatet.info,http://borgatorp.se,,google_maps
Höglandets Hundpensionat,Sävsjö,Jönköpings län,,https://xn--hglandetshundpensionat-uhc.se,,google_maps
Kennel Rapide Ours,Tenhult,Jönköpings län,kennel.rapideours@gmail.com,https://sites.google.com/view/kennel-rapide-ours,,google_maps
Bringsjös pigga hunden,Mullsjö,Jönköpings län,petra@bringsjo.se,http://www.piggahunden.se,https://www.facebook.com/BringsjosPiggaHunden/#:~:text=Bringsjö's%20Pigga%20Hunden%C2%A0,google_maps
Brogårdens hundar,Mullsjö,Jönköpings län,,https://www.brogardenshundpensionat.se,,google_maps
Kennel Ricebo's,Huskvarna,Jönköpings län,,http://www.ricebo.weebly.com,//facebook.com/cecilia.sorhuus.1,google_maps
Beathalandet HB,Habo,Jönköpings län,kennelbeathalandet@gmail.com,https://www.beathalandet.se,https://www.facebook.com/Kennel-Beathalandet-121344697913299,google_maps
Hazels Hunddagis & Hundpensionat,Nässjö,Jönköpings län,hazels.hunddagis@gmail.com,http://www.hazels-hunddagis.se,,google_maps
BIG hEART´S KENNEL,Jönköping,Jönköpings län,,,,google_maps
i20 Hunddagis AB,Umeå,Västerbottens län,info@hunddagis.org,https://hunddagis.org,https://www.facebook.com/p/i20-hunddagis-100057551635613,google_maps
Kamillas dogis,Umeå,Västerbottens län,,https://www.facebook.com/kamillasdogisumea,,google_maps
Anumark Hundservice,Umeå,Västerbottens län,kicki@anumark.net,http://anumark.net,,google_maps
Håkmarks Hundhotell & Dagis,Håkmark,Västerbottens län,info@hakmarkshundhotell.se,http://hakmarkshundhotell.se,,google_maps
Hundstund,Lund,Skåne län,annat@hundstund.com,http://www.hundstund.com,https://www.facebook.com/hundstund,google_maps
Höje Hund & Park AB,Lund,Skåne län,marja@hunddagis-lund.se,http://www.hunddagis-lund.se,http://www.facebook.com/HojeHundochPark,google_maps
Lund Mansion's Hundcenter & Pensionat,Söderköping,Skåne län,,https://lundmansion.se,https://www.facebook.com/lundmansion,google_maps
Into the wild,Lund,Skåne län,,http://www.lund841.wordpress.com,,google_maps
Lylysdoghouse,Lund,Skåne län,,https://lylysdoghouse.se,,google_maps
Rutsbo,Flyinge,Skåne län,,http://facebook.com/Rutsbo-105167661447218,,google_maps
Rissies Kennel,Genarp,Skåne län,,https://www.rissieskennel.se,,google_maps
Vallby hunddagis & pensionat,Staffanstorp,Skåne län,,,,google_maps
Arcos Hundcenter,Veberöd,Skåne län,info@arcoshundcenter.se,http://www.arcoshundcenter.se,https://facebook.com/arcoshundcenter,google_maps
Tassmanien,Södra Sandby,Skåne län,,,,google_maps
Kylestorp Hundpensionat,Hörby,Skåne län,kylestorp.hundpensionat@gmail.com,http://kylestorphundpensionat.com,,google_maps
Aktiv Hundcenter,Klågerup,Skåne län,linda@aktivhundcenter.se,http://www.aktivhundcenter.se,https://www.facebook.com/pages/Aktiv-Hundcenter/184001484948547,google_maps
Kennel Mistykooi,Lund,Skåne län,,http://www.mistykooi.se/430707859,,google_maps
Aki Hundcenter,Borås,Västra Götalands län,nermin@aki-hundcenter.se,http://www.aki-hundcenter.se,https://www.facebook.com/Aki-Hundcenter-AB-2142039139457539,google_maps
Babsans hund- & kattklipp samt hunddagis,Borås,Västra Götalands län,,http://www.babsanshundochkattklipp.se,,google_maps
Hundens Hälsa i Borås,Borås,Västra Götalands län,info@hundenshalsa.com,http://hundenshalsa.com,,google_maps
Prima Hund,Borås,Västra Götalands län,,http://www.primacura.se,,google_maps
NBN Villgott's Hund,Borås,Västra Götalands län,,,,google_maps
Falskogs Hunddagis & pensionat,Rångedala,Västra Götalands län,,https://www.timecenter.se/tintinstrimsalong,,google_maps
Nyfiken Nos AB,Viskafors,Västra Götalands län,info@nyfiken-nos.se,https://nyfiken-nos.se,,google_maps
Hundvakt,Borås,Västra Götalands län,,,,google_maps
Hundspektra,Borås,Västra Götalands län,hej@hundspektra.se,http://hundspektra.se,https://www.facebook.com/hundspektra,google_maps
Hinnareds Hundpensionat AB,Hillared,Västra Götalands län,boka@hinnaredshundpensionat.se,http://www.hinnaredshundcenter.se,https://www.facebook.com/Hinnared,google_maps
Hundrastgård Hestra,Borås,Västra Götalands län,tekniska@boras.se,https://www.boras.se/upplevaochgora/lekplatserochaktivitetsplatser/hundrastplatser.4.605a2fc161ce5ff59db3a0.html,https://facebook.com/borasstad,google_maps
Björnåsens Hundpensionat,Bollebygd,Västra Götalands län,,http://www.bjornasens.se,https://www.facebook.com/BjornasensHundpensionat,google_maps
Ryaåsens Kennel Cockerpoo & Australian labradoodle,Borås,Västra Götalands län,info@ryaasens.se,http://ryaasens.se,https://www.facebook.com/ryaasenshundar,google_maps
AMNIS HUNDHUS Södra Berget,Sundsvall,Västernorrlands län,sodraberget@amnishundhus.se,http://www.amnishundhus.se,https://www.facebook.com/amnishundhussodraberget,google_maps
AMNIS HUNDHUS Gärde,Sundsvall,Västernorrlands län,sodraberget@amnishundhus.se,http://www.amnishundhus.se,https://www.facebook.com/amnishundhussodraberget,google_maps
