namn,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Skutegårdens kennel,Fåker,Vestfold og Telemark,cardigan@telia.com,http://www.cathen.se,https://www.facebook.com/pages/Skuteg%C3%A5rdens-kennel/824283280941134,google_maps,,,
Kennel kystsola,Norge,Vestfold og Telemark,,,,google_maps,,,
Amarita Kennel,Norge,Vestfold og Telemark,,,,google_maps,,,
Pom Nebula Kennel,Norge,Vestfold og Telemark,,https://www.facebook.com/PomnebulaPoms,,google_maps,,,
Mallalasse kennel,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Reitane,Norge,Møre og Romsdal,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Kvasneset,Norge,Møre og Romsdal,anja@kvasneset.com,https://www.kvasneset.com,,google_maps,,,
Kennel Moldefjord,Norge,Møre og Romsdal,,,,google_maps,,,
Rozaros Kennel,Norge,Møre og Romsdal,,http://www.rozaros.com/Tidligere-Valpe-Kull,,google_maps,,,
Kennel Falkiaro,Norge,Møre og Romsdal,kristin.falkiaro@gmail.com,http://www.falkiaro.net/Kontaktsida,,google_maps,,,
Kennel Ragnarok Polar,Harpefossvegen,Sogn og Fjordane,,,,google_maps,,,
Kennel Nordfjord,Nordfjord,Sogn og Fjordane,kennelnordfjord@gmail.com,https://kennel-nordfjord.dk,,google_maps,,,
Kennel Hawuna,Norge,Sogn og Fjordane,hawuna@hawuna.com,http://www.hawuna.com,http://facebook.com/sarahsaetveit,google_maps,,,
Kennel GreyAlpha,Norge,Sogn og Fjordane,,https://greyalpha.no,,google_maps,,,
Kennel Solveggen,Norge,Sogn og Fjordane,post@kennelsolveggen.no,http://www.kennelsolveggen.no,,google_maps,,,
Voss Kennel,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Alnopa,Norge,Sogn og Fjordane,,http://www.kennelalnopa.weebly.com,,google_maps,,,
Kennel Aivema,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Nærleiken,Norge,Sogn og Fjordane,,http://naerleiken.no,,google_maps,,,
Arctic Sunstaff Kennel. Oppdretter av Staffordshire bull terriere,Norge,Sogn og Fjordane,,http://arcticsunstaff.com,,google_maps,,,
Kennel Svebø,Norge,Sogn og Fjordane,,http://www.kennel-sveboe.com,,google_maps,,,
Kennel Fak's,Norge,Sogn og Fjordane,,,,google_maps,,,
Kennel Sortsnute,Norge,Rogaland,,,,google_maps,,,
Kennel Sølvbart,Norge,Rogaland,,,,google_maps,,,
Aasetoppen kennel,Norge,Rogaland,,http://www.facebook.com/Heika15,,google_maps,,,
Kennel Hunterhawk,Norge,Rogaland,fophei@online.no,http://www.kennelhunterhawk.dk,,google_maps,,,
Kennel Bergtatt Slipp hunden løs,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Øyesølv,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Wheatamien,Norge,Vestfold og Telemark,,,,google_maps,,,
Kennel Warm Whispering,Norge,Vestfold og Telemark,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Ratoppen,Norge,Vestfold og Telemark,,https://www.ratoppen.net,,google_maps,,,
Kelilis Kennel og Hundepensjonat,Norge,Viken,,,,google_maps,,,
Kennel Kruttbolla,Norge,Viken,,,,google_maps,,,
Østfold kennel og Hundesenter AS,Norge,Viken,josteingrav@gmail.com,https://ostfoldkennel.no,https://www.facebook.com/ostfoldkenneloghundesenter,google_maps,,,
Kennel Soft Rush,Norge,Viken,,,,google_maps,,,
Kennel CasaBolstad,Norge,Viken,,http://www.casabolstad.com,,google_maps,,,
Triomar kennel,Norge,Viken,triomarkennel@gmail.com,https://triomarkennel.com,,google_maps,,,
The Originals Kennel,Norge,Viken,,,,google_maps,,,
Kennel Tyriberget,Norge,Viken,,http://tyriberget.beagle.no,,google_maps,,,
Kennel Larhjelm,Norge,Viken,lars@larhjelm.net,http://www.larhjelm.net/Husetshunder/BISavLarhjelm,,google_maps,,,
Kennel Petit Norvegien,Norge,Viken,,http://bergerdespyreneesafacerase.com,,google_maps,,,
Paiute kennel,Norge,Viken,,,,google_maps,,,
Kennel Staff Division,Norge,Agder,,,,google_maps,,,
Flakkefossen Kennel og Hundepensjonat,Norge,Agder,,http://flakkefossen.no,,google_maps,,,
Örbackas Kennel,Mellerud,Agder,orbackaskennel@gmail.com,https://www.orbackaskennel.com,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-26,11:11
Kennel Enano,Norge,Nordland,,,,google_maps,,,
Høgtind kennel og hundehotell,Norge,Nordland,,http://hogtind-hundehotell.no,https://www.facebook.com/H%C3%B8gtind-Kennel-og-Hundehotell-As-738472403188129,google_maps,,,
