namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Järvsö Hundtjänst,Järvsö Hundtjänst,Järvsö,Viken,tau582b@tninet.se,http://www.hundstallet.dinstudio.se,,google_maps,,,
Gunnarsmo Hundpensionat,Gunnarsmo,Nybro,Viken,,,,google_maps,,,
Oskarshamns Hundpensionat,Oskarshamns,Oskarshamn,Viken,,,,google_maps,,,
Forsakvarns Hundpensionat,Forsakvarns,Slöinge,Viken,forsakvarnshundcenter@hotmail.com,http://forsakvarnshundcenter.com,,google_maps,skickat,2026-04-01,06:46
Höglandets Hundpensionat,Höglandets,Sävsjö,Viken,,https://xn--hglandetshundpensionat-uhc.se,,google_maps,,,
Normlösa lyckevallen hundpensionat,Normlösa lyckevallen,Skänninge,Viken,,http://mixalex.com,https://www.facebook.com/profile.php,google_maps,,,
Bråvikens Hundpensionat HB,Bråvikens HB,Norrköping,Viken,,,,google_maps,,,
DoggsenCenter Hundpensionat / Hunddagis,DoggsenCenter,Åby,Viken,info@doggsencenter.se,http://www.doggsencenter.se,,google_maps,skickat,2026-03-31,16:58
Källhagens Gård & Hundpensionat,Källhagens Gård,Lindesberg,Viken,info@kallhagens.se,https://kallhagens.se,https://facebook.com/kallhagens,google_maps,skickat,2026-03-31,15:36
Bergshamra Hunddagis,Bergshamra,Solna,Viken,,,,google_maps,,,
Grändens Hunddagis & Pensionat AB,Grändens Hunddagis & Pensionat,Knislinge,Viken,hunddagis@grandens.se,http://www.grandens.se,,google_maps,skickat,2026-04-01,06:30
Hundkojan,Hundkojan,Lindesberg,Viken,info@kallhagens.se,http://www.hundkojanlinde.se,https://facebook.com/kallhagens,google_maps,skickat,2026-04-01,08:06
Hundhaga,Hundhaga,Höllviken,Viken,hundhaga@outlook.com,http://www.hundhaga.se,https://www.facebook.com/Hundhaga,google_maps,,,
Hund i centrum Tagenevägen,Hund i centrum Tagenevägen,Hisings Kärra,Agder,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps,skickat,2026-03-31,16:30
Kålltorps Hundställe AB,Kålltorps Hundställe,Göteborg,Agder,,http://kalltorpshundstalle.se,,google_maps,,,
Göteborgs Hunddagis Backaplan,Göteborgs Backaplan,Göteborg,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:22
Mölndals hunddagis - Mölndal,Mölndals - Mölndal,Mölndal,Agder,molndalshunddagis@gmail.com,http://molndalshunddagis.se,https://www.facebook.com/p/M%C3%B6lndals-hunddagis-AB-100084048623355,google_maps,skickat,2026-03-31,16:38
Göteborgs Hunddagis-Högsbo,Göteborgs Hunddagis-Högsbo,Västra Frölunda,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:26
Göteborgs Hunddagis Mölndal,Göteborgs Mölndal,Mölndal,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:34
Hund i Centrum Hildebrandsgatan,Hund i Centrum Hildebrandsgatan,Göteborg,Agder,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps,skickat,2026-03-31,16:26
Koppla Av Hundcenter AB i Mölndal,Koppla Av Hundcenter i Mölndal,Mölndal,Agder,info@kopplaav.com,http://www.kopplaav.com,https://facebook.com/129692191440,google_maps,skickat,2026-03-31,18:34
Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborg,Agder,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:26
Göteborgs Hunddagis-Sisjön,Göteborgs Hunddagis-Sisjön,Askim,Agder,alingsas@goteborgshunddagis.se,http://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,16:30
Hundpositivet,Hundpositivet,Mölndal,Agder,info@hundpositivet.com,http://www.hundpositivet.com,https://www.facebook.com/hundpositivet,google_maps,skickat,2026-03-31,18:34
Kayogården Hundpensionat - Hundpensionat Kungälv,Kayogården - Kungälv,Romelanda,Agder,info@kayogarden.se,https://www.kayogarden.se,,google_maps,skickat,2026-03-31,16:42
Alingsås Hundarena-Hunddagis,Alingsås Hundarena,Alingsås,Agder,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps,skickat,2026-03-31,18:50
Hundakademin Mölndal-Lindome,Hundakademin Mölndal-Lindome,Lindome,Agder,info@hundakademin.com,https://hundakademin.se,,google_maps,skickat,2026-03-31,18:38
Mariestads Hundpensionat,Mariestads,Mariestad,Agder,,,,google_maps,,,
Gudebo hundpensionat,Gudebo,Strömstad,Nordland,hildegunn@gudebo.se,https://www.gudebo.se,,google_maps,,,
Grimstalyan Hundcenter,Grimstalyan Hundcenter,Vällingby,Agder,info@grimstalyan.se,http://www.grimstalyan.se,https://www.facebook.com/Grimstalyan-184989294977535,google_maps,skickat,2026-03-31,16:22
