namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Jezzamynens kennel,Jezzamynens,Bollnäs,Gävleborgs län,,http://www.jezzamynens.se/kontakta,,google_maps,,,
Melody Club's kennel,Melody Club's,Avesta,Dalarnas län,,,,google_maps,,,
Kennel master of puppies,Kennel master of puppies,Avesta,Dalarnas län,,,,google_maps,,,
Kennel Gerfelli´s,Kennel Gerfelli's,Grillby,Dalarnas län,,,,google_maps,,,
Järlemossens Kennel,Järlemossens,Nora,Örebro län,,,,google_maps,,,
Linlands Kennel,Linlands,Bälinge,Örebro län,,,,google_maps,,,
"Ideborgens Kennel, Hundvård & Hundpensionat","Ideborgens Kennel, Hundvård",Köping,Västmanlands län,,,,google_maps,,,
Kennel Puckings,Kennel Puckings,Köping,Västmanlands län,,http://puckings.com,,google_maps,,,
Kennel Merytyme,Kennel Merytyme,Sala,Västmanlands län,,,,google_maps,,,
Kennel Blåtassen,Kennel Blåtassen,Sala,Västmanlands län,,,,google_maps,,,
kennel kätran,kennel kätran,Kramfors,Västernorrlands län,,,,google_maps,,,
kennel waytogo,kennel waytogo,Sollefteå,Västernorrlands län,,http://www.kennelwaytogo.se/sv-SE/kennel-wtg/kontakt-3125083,,google_maps,,,
Kennel Fly High,Kennel Fly High,Näsåker,Västernorrlands län,,,,google_maps,,,
Försvarets hundtjänstenhet Avelsstation,Försvarets hundtjänstenhet Avelsstation,Sollefteå,Västernorrlands län,,,,google_maps,,,
Norrskenets Kennel,Norrskenets,Själevad,Västerbottens län,,http://www.norrskenets.se/utstallning.html,,google_maps,,,
Röjvallens Kennel,Röjvallens,Lycksele,Västerbottens län,,,,google_maps,,,
Hem /Norrskenets kennel,Hem /Norrskenets,Junsele,Västerbottens län,,http://www.norrskenets.se,,google_maps,,,
Kennel Arctic Arssarnerit,Kennel Arctic Arssarnerit,Skogså,Norrbottens län,,,,google_maps,,,
Topforce kennel,Topforce,Boden,Norrbottens län,,,,google_maps,,,
Kennel Vet Point,Kennel Vet Point,Kiruna,Norrbottens län,,https://swedmapi.org/details/kennel-vet-point-ChIJKct,,google_maps,,,
Kennel Request,Kennel Request,Malmberget,Norrbottens län,,http://kennelrequest.se/updat_2019.htm,,google_maps,,,
